Z7,mH,mHc,mA,sinba,cba,m12,tb,Z4,Z5,l1,l2,l3,l4,l5,l6,l7,alpha,beta,kappa1tt,kappa1bb,g_HpHmh,Gamma_h,Gamma_H,Gamma_Hc,Gamma_A,br_h_bb,br_h_tautau,br_h_gg,br_h_WW,br_h_ZZ,br_h_gaga,br_A_tt,br_A_bb,br_A_gg,br_A_mumu,br_A_tautau,br_A_Zga,br_A_Zh,br_A_ZH,br_A_gaga,br_H_tt,br_H_bb,br_H_gg,br_H_mumu,br_H_tautau,br_H_Zga,br_H_Zh,br_H_WW,br_H_ZZ,br_H_ZA,br_H_AA,br_H_hh,br_H_gaga,br_Hp_tb,br_Hp_taunu,br_Hp_Wh,br_Hp_WH,br_Hp_WA,X_sect_bg_tot,X_sect_bg_h,X_sect_bg_H,X_sect_bg_A,X_sect_bq_tot,X_sect_bq_h,X_sect_bq_H,X_sect_bq_A,X_sect_qq_tot,X_sect_qq_h,X_sect_qq_H,X_sect_qq_A
3.80805,797.203,285.339,658.718,0.952743,0.303778,138988,6.08164,-4.65145,6.97719,2.22606,1.01054,23.4271,-3.27292,8.35571,4.00E-15,-3.05E-15,0.31494479691617,1.40782872481561,0.963581,-1.90921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0726159946214,0.0135710515,1.12E-05,7.10E-05,0.032518181533,0.03427268,0.000290005275,7.10E-05,0.00255058037,0.002372392,8.23E-05,9.34E-05
4.18793,782.808,245.609,643.66,0.999115,0.0420721,48567.2,6.04506,-4.75522,6.92238,0.484861,1.05494,22.9573,-3.34633,8.33127,3.55E-15,-3.28E-15,0.3271503046672,1.40686224584102,0.95983,-1.96902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0122530783967,0.132133105,6.76E-05,2.36E-05,0.034418516925,0.02925365,6.88E-05,2.36E-05,0.003300908,0.0023568537,0.0005120764,0.0004246087
3.35488,756.162,298.762,621.422,0.969249,0.246081,104345,6.01118,-3.66403,6.13089,2.74794,0.834163,19.842,-2.46328,7.33164,3.55E-15,-3.61E-15,0.297959464826498,1.40597834326435,0.96907,-1.78926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0551326323092,0.054885279,1.11E-05,0.356399554,0.033312985611,0.03361947,0.000277092692,0.451301165,0.00299258908,0.0024468989999999,0.00016728744,0.000373674
2.80024,837.055,803.798,695.283,0.967823,0.251632,84984.1,8.24847,5.58364,0.21709,1.79257,0.278896,16.3885,6.22399,0.857448,3.55E-15,-3.33E-15,0.127784459337035,1.45016440425911,0.999108,-1.05897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0656736893557,0.04903383,1.46E-05,7.91E-06,0.033152824594,0.03152743,0.000261283443,7.91E-06,0.00279571376,0.002421836,0.00016376924,0.0002088965
-0.196891,847.871,781.321,700.924,0.998538,0.0540532,67497.7,7.78939,5.06751,1.13616,0.432775,0.212867,14.4864,5.76148,1.83013,3.55E-15,-2.58E-15,0.111740203214895,1.44312210068908,1.00192,-0.875742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0132834428065,0.0132635982,1.17E-05,5.62E-05,0.034382927863,0.02963343,4.50E-05,5.62E-05,0.0027619584,0.0023509395,0.0002603997,0.00015056291
4.89841,916.146,669.299,702.446,0.999625,0.0273891,147917,5.86926,2.90749,4.4075,0.375652,0.600152,20.9862,4.61982,6.11982,3.55E-15,-3.94E-15,0.229994253153485,1.40205848754217,0.987695,-1.35747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0111812426607,0.012753022,1.19E-05,7.35E-05,0.0343993393062,0.02877593,8.65E-06,7.35E-05,0.002461279076,0.002344860626,5.61E-05,5.98E-05
0.158702,834.807,787.425,717.042,0.999533,0.03057,54067.9,7.80646,4.11083,0.617564,0.532975,0.225057,15.6494,4.78923,1.29597,3.55E-15,-3.48E-15,0.115543982066796,1.44339227676242,1.00145,-0.907333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0115109179576,0.0114711592999999,3.23E-05,1.14E-05,0.034424733323,0.03062947,4.64E-05,1.14E-05,0.00284088763,0.00233879521,0.0003348635,0.00016086175
3.59452,743.787,291.627,619.999,0.999967,0.0081239713810364,151865,6.12068,-3.86846,6.00715,0.219734,0.797225,19.5108,-2.67718,7.19842,3.55E-15,-3.94E-15,0.293465339360666,1.40885445556468,0.969938,-1.79409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12E-05,0.370474414,0.03054516966,0.0002328263,0.00098924197,,,0.002521847,0.0002392204299999,0.001549043
2.15085,633.053,600,659.986,0.930417,0.366502,38533.4,9.66466,-2.67443,-0.181006,0.808123,0.658294,24.2267,-2.22292,0.270511,3.11E-15,-3.07E-15,0.272144478970547,1.46769346684858,0.968339,-2.61171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15665718867,0.156487897,8.44E-05,9.04E-06,0.03176721994,0.0290307,0.00101177424,9.04E-06,0.0036415705,0.002621747,0.0004426177,0.00057999
3.34164,821.571,518.091,677.674,0.930308,0.366779,78866.4,5.58568,-1.44953,4.84573,4.95594,0.60869,19.499,-0.0745176,6.22074,3.11E-15,-3.28E-15,0.249320468839896,1.39370811277159,0.984477,-1.40065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.250727878107,0.111613373,3.74E-05,6.58E-05,0.03201047376,0.03424987,0.00083831452,6.58E-05,0.00383826283,0.002603792,0.0002692457,0.0009692739999999
