mH,mA,mHc,sinba,cba,m12,tb
791.777,683.761,650.007,0.922925,0.38498,,5.01975
828.585,401.865,718.045,0.925644,0.378395,,5.03161
469.685,600,599.252,0.998708,0.0508191,41178.3,5.03958
719.781,791.293,694.087,0.916456,0.400135,,5.0821
791.428,528.394,676.428,0.918391,0.395674,,5.09236
823.722,505.171,686.228,0.918459,0.395516,,5.11781
792.852,533.314,667.029,0.925195,0.379491,,5.1264
589.983,482.861,580.174,0.923983,0.382435,,5.13162
794.035,398.063,714.192,0.925545,0.378637,,5.1453
440.104,600,604.087,0.998853,0.04789,34728.7,5.22789
836.996,790.34,645.88,0.919698,0.392626,,5.23362
799.41,568.673,586.967,0.920632,0.390432,,5.2365
602.233,381.805,578.952,0.924351,0.381543,,5.23688
799.171,512.075,737.49,0.925601,0.378501,,5.25369
502.257,600,642.992,0.999197,0.0400545,45563.6,5.3093
781.52,433.572,712.33,0.926082,0.377322,,5.33655
773.571,564.719,597.458,0.922485,0.386034,,5.35391
781.423,539.017,672.927,0.926882,0.375353,,5.38328
751.958,491.733,617.144,0.927209,0.374544,,5.49782
493.267,600,633.859,0.999771,0.0213775,40829,5.78977
473.02,600,625.732,0.999902,0.013985,25339.4,8.6975
769.482,985.882,1000.46,0.998181,0.060296,,9.00009
801.722,985.504,812.495,0.998791,0.0491601,,9.00056000000001
635.51,994.302,1008.63,0.999635,0.0270144,,9.00486
676.412,869.305,707.604,0.998988,0.0449709,,9.00641
729.836,989.768,1002.62,0.998614,0.0526258,,9.00792
589.386,998.723,1003.72,0.999534,0.030532,,9.00914
577.095,498.146,595.457,0.97345,0.228899,,9.00926
911.262,721.425,690.297,0.981504,0.191444,,9.0141
937.037,979.535,1035.86,0.999615,0.0277375,,9.01533
771.079,994.824,1006.89,0.999637,0.0269401,,9.02278
793.222,976.727,1003.37,0.999316,0.0369704,,9.02733
909.075,741.095,699.71,0.983088,0.183135,,9.02793
730.275,990.85,1004.52,0.998081,0.0619179,,9.02821
751.783,988.165,1002.34,0.998433,0.055956,,9.03019
973.472,937.1,1021.82,0.987898,0.155105,,9.03047
771.291,994.142,1005.19,0.997816,0.0660598,,9.03063
718.173,995.411,1003.23,0.998932,0.0462122,,9.03105
746.298,675.381,752.664,0.973443,0.22893,,9.03215
793.445,986.771,1004.62,0.998079,0.0619611,,9.0333
689.348,884.005,697.712,0.999032,0.0439839,,9.03368000000001
917.923,721.052,685.705,0.981133,0.193335,,9.03624
696.214,993.256,1005.65,0.998892,0.0470718,,9.05107
666.966,998.344,1002.09,0.997771,0.0667247,,9.05711
796.904,997.905,1018.98,0.999699,0.0245332,,9.05811
600,526.109,640.182,0.986775,0.162097,,9.0598
942.656,979.898,1009.22,0.998564,0.0535797,,9.06377
932.227,975.823,1011.82,0.999626,0.0273563,,9.06587
686.066,880.288,690.494,0.998713,0.0507259,,9.06998
714.313,991.869,1014.78,0.999616,0.0277029,,9.07151
738.511,985.919,1003.4,0.99894,0.0460395,,9.07719
575.241,998.21,1001.62,0.998602,0.0528609,,9.08058
599.626,995.899,1002.84,0.99947,0.0325421,,9.08191
769.16,987.376,1000.28,0.998789,0.0491909,,9.0847
795.967,998.352,1005.33,0.999364,0.0356496,,9.08573
685.109,998.672,1004.73,0.999187,0.0403144,,9.0879
576.647,885.093,580.316,0.983049,0.183341,,9.09153
771.4,987.298,1017.45,0.999285,0.0377984,,9.09464
953.882,973.852,1019.37,0.999535,0.0305008,,9.09694
962.81,985.753,1011.11,0.999447,0.0332528,,9.09758
961.738,953.469,1026.48,0.999703,0.0243741,,9.10408
750.602,991.032,1001.09,0.998833,0.0482934,,9.10584
688.045,870.872,704.735,0.998909,0.0467028,,9.10873000000001
964.842,935.442,1016.98,0.998643,0.0520879,,9.11062
796.643,991.002,1007.54,0.99959,0.0286227,,9.11078
564.033,806.608,594.55,0.982823,0.18455,,9.11375999999999
748.67,988.482,1002.61,0.999091,0.04264,,9.12536
716.598,995.896,1013.15,0.999578,0.0290357,,9.12733
829.209,948.932,815.874,0.998304,0.0582169,,9.12734
962.041,987.197,1020.34,0.999054,0.0434931,,9.12741
964.257,935.11,1032.69,0.999636,0.026982,,9.12852
790.516,987.401,1011.37,0.999639,0.0268802,,9.13189
729.49,817.414,684.156,0.978015,0.208535,,9.13215999999999
600,520.482,626.141,0.998354,0.0573497,,9.13935999999999
776.557,970.509,1000.45,0.999677,0.0254198,,9.13988
667.822,997.799,1004.65,0.998682,0.0513178,,9.14282
739.946,825.004,711.863,0.999449,0.0331844,,9.14428000000001
977.854,886.211,1021.79,0.999482,0.0321868,,9.14537
