# ATLAS, arXiv:1811.11028, Nov. 2018
# 11028_ATLAS_X-HH-WWWW_13TeV_36.1fb-1.txt
# Limit is set on sigma(pp->X) x BR(X->hh) x BR^2(h->WW)/BR^2(h->WW)_SM [in pb]
# Ma     obs     exp

       260.0           9.224           9.819    
       280.0           8.855           9.923    
       300.0           8.486           10.03    
       320.0           7.847           9.352    
       340.0           7.208           8.677    
       360.0           6.569           8.003    
       380.0           5.930           7.329    
       400.0           5.291           6.654    
       420.0           4.791           5.841    
       440.0           4.291           5.027    
       460.0           3.791           4.213    
       480.0           3.292           3.400    
       500.0           2.792           2.586    
