# ATLAS, arXiv:1808.03599, Aug 2018
# Data taken from Fig. 8
# 3599_Atlas_pp-tbHpm-tbtb_13Tev_36.1fb-1.txt
# MHpm	obs	exp (in pb on sigma(pp->tbH^\pm) x BR(H^\pm -> tb) )

       200.0           2.863           2.985    
       225.0           2.043           2.339    
       250.0           1.131           1.804    
       275.0           1.019           1.722    
       300.0          0.7824           1.568    
       325.0          0.7969           1.402    
       350.0          0.8113           1.235    
       375.0          0.6626           1.089    
       400.0          0.5139          0.9431    
       425.0          0.5012          0.8499    
       450.0          0.4886          0.7566    
       475.0          0.4759          0.6634    
       500.0          0.4632          0.5701    
       525.0          0.4288          0.5342    
       550.0          0.3944          0.4982    
       575.0          0.3599          0.4623    
       600.0          0.3255          0.4263    
       625.0          0.3175          0.4015    
       650.0          0.3095          0.3768    
       675.0          0.3014          0.3520    
       700.0          0.2934          0.3272    
       725.0          0.2819          0.3108    
       750.0          0.2703          0.2945    
       775.0          0.2588          0.2781    
       800.0          0.2472          0.2618    
       825.0          0.2469          0.2532    
       850.0          0.2466          0.2446    
       875.0          0.2463          0.2361    
       900.0          0.2460          0.2275    
       925.0          0.2274          0.2174    
       950.0          0.2089          0.2072    
       975.0          0.1904          0.1970    
       1000.          0.1719          0.1868    
       1025.          0.1701          0.1804    
       1050.          0.1683          0.1740    
       1075.          0.1665          0.1675    
       1100.          0.1647          0.1611    
       1125.          0.1629          0.1547    
       1150.          0.1610          0.1483    
       1175.          0.1592          0.1418    
       1200.          0.1574          0.1354    
       1225.          0.1503          0.1322    
       1250.          0.1431          0.1291    
       1275.          0.1360          0.1259    
       1300.          0.1288          0.1227    
       1325.          0.1217          0.1196    
       1350.          0.1145          0.1164    
       1375.          0.1074          0.1132    
       1400.          0.1002          0.1100    
       1425.          0.9905E-01      0.1082    
       1450.          0.9787E-01      0.1063    
       1475.          0.9669E-01      0.1045    
       1500.          0.9552E-01      0.1026    
       1525.          0.9434E-01      0.1007    
       1550.          0.9316E-01      0.9887E-01
       1575.          0.9199E-01      0.9701E-01
       1600.          0.9081E-01      0.9515E-01
       1625.          0.8639E-01      0.9333E-01
       1650.          0.8198E-01      0.9151E-01
       1675.          0.7756E-01      0.8969E-01
       1700.          0.7314E-01      0.8787E-01
       1725.          0.6872E-01      0.8605E-01
       1750.          0.6430E-01      0.8424E-01
       1775.          0.5989E-01      0.8242E-01
       1800.          0.5547E-01      0.8060E-01
       1825.          0.5738E-01      0.8024E-01
       1850.          0.5930E-01      0.7988E-01
       1875.          0.6121E-01      0.7952E-01
       1900.          0.6313E-01      0.7916E-01
       1925.          0.6504E-01      0.7880E-01
       1950.          0.6696E-01      0.7844E-01
       1975.          0.6887E-01      0.7808E-01
       2000.          0.7079E-01      0.7772E-01
