# ATLAS, arXiv:1809.06682, Sept. 2018, Fig. 6b
# 6682_Atlas_VBF_h-invisible_13TeV_36.1fb-1.txt
# Limit set on sigma(h,VBF) x BR(h->inv) in pb
# Mh	obs 	exp

       75.00           1.979           1.502    
       80.00           1.942           1.473    
       85.00           1.905           1.444    
       90.00           1.867           1.414    
       95.00           1.830           1.385    
       100.0           1.793           1.356    
       105.0           1.756           1.327    
       110.0           1.719           1.298    
       115.0           1.681           1.269    
       120.0           1.644           1.240    
       125.0           1.607           1.211    
       130.0           1.586           1.195    
       135.0           1.565           1.180    
       140.0           1.544           1.165    
       145.0           1.523           1.149    
       150.0           1.502           1.134    
       155.0           1.481           1.118    
       160.0           1.460           1.103    
       165.0           1.439           1.088    
       170.0           1.418           1.072    
       175.0           1.397           1.057    
       180.0           1.377           1.042    
       185.0           1.356           1.026    
       190.0           1.335           1.011    
       195.0           1.314          0.9958    
       200.0           1.293          0.9805    
       205.0           1.272          0.9651    
       210.0           1.251          0.9498    
       215.0           1.230          0.9344    
       220.0           1.209          0.9191    
       225.0           1.188          0.9038    
       230.0           1.167          0.8884    
       235.0           1.146          0.8731    
       240.0           1.125          0.8577    
       245.0           1.104          0.8424    
       250.0           1.083          0.8271    
       255.0           1.062          0.8117    
       260.0           1.041          0.7964    
       265.0           1.020          0.7811    
       270.0          0.9994          0.7657    
       275.0          0.9784          0.7504    
       280.0          0.9575          0.7350    
       285.0          0.9365          0.7197    
       290.0          0.9156          0.7044    
       295.0          0.8946          0.6890    
       300.0          0.8737          0.6737    
       305.0          0.8694          0.6704    
       310.0          0.8650          0.6671    
       315.0          0.8607          0.6639    
       320.0          0.8564          0.6606    
       325.0          0.8520          0.6573    
       330.0          0.8477          0.6540    
       335.0          0.8434          0.6508    
       340.0          0.8391          0.6475    
       345.0          0.8347          0.6442    
       350.0          0.8304          0.6409    
       355.0          0.8261          0.6377    
       360.0          0.8218          0.6344    
       365.0          0.8174          0.6311    
       370.0          0.8131          0.6278    
       375.0          0.8088          0.6246    
       380.0          0.8044          0.6213    
       385.0          0.8001          0.6180    
       390.0          0.7958          0.6147    
       395.0          0.7915          0.6115    
       400.0          0.7871          0.6082    
       405.0          0.7828          0.6049    
       410.0          0.7785          0.6016    
       415.0          0.7742          0.5984    
       420.0          0.7698          0.5951    
       425.0          0.7655          0.5918    
       430.0          0.7612          0.5885    
       435.0          0.7568          0.5853    
       440.0          0.7525          0.5820    
       445.0          0.7482          0.5787    
       450.0          0.7439          0.5754    
       455.0          0.7395          0.5722    
       460.0          0.7352          0.5689    
       465.0          0.7309          0.5656    
       470.0          0.7265          0.5623    
       475.0          0.7222          0.5591    
       480.0          0.7179          0.5558    
       485.0          0.7136          0.5525    
       490.0          0.7092          0.5492    
       495.0          0.7049          0.5460    
       500.0          0.7006          0.5427    
       505.0          0.6963          0.5394    
       510.0          0.6919          0.5361    
       515.0          0.6876          0.5329    
       520.0          0.6833          0.5296    
       525.0          0.6789          0.5263    
       530.0          0.6746          0.5230    
       535.0          0.6703          0.5198    
       540.0          0.6660          0.5165    
       545.0          0.6616          0.5132    
       550.0          0.6573          0.5099    
       555.0          0.6530          0.5067    
       560.0          0.6487          0.5034    
       565.0          0.6443          0.5001    
       570.0          0.6400          0.4968    
       575.0          0.6357          0.4936    
       580.0          0.6313          0.4903    
       585.0          0.6270          0.4870    
       590.0          0.6227          0.4837    
       595.0          0.6184          0.4805    
       600.0          0.6140          0.4772    
       605.0          0.6097          0.4739    
       610.0          0.6054          0.4706    
       615.0          0.6011          0.4674    
       620.0          0.5967          0.4641    
       625.0          0.5924          0.4608    
       630.0          0.5881          0.4575    
       635.0          0.5837          0.4543    
       640.0          0.5794          0.4510    
       645.0          0.5751          0.4477    
       650.0          0.5708          0.4444    
       655.0          0.5664          0.4412    
       660.0          0.5621          0.4379    
       665.0          0.5578          0.4346    
       670.0          0.5535          0.4313    
       675.0          0.5491          0.4281    
       680.0          0.5448          0.4248    
       685.0          0.5405          0.4215    
       690.0          0.5361          0.4182    
       695.0          0.5318          0.4150    
       700.0          0.5275          0.4117    
       705.0          0.5232          0.4084    
       710.0          0.5188          0.4051    
       715.0          0.5145          0.4019    
       720.0          0.5102          0.3986    
       725.0          0.5058          0.3953    
       730.0          0.5015          0.3920    
       735.0          0.4972          0.3888    
       740.0          0.4929          0.3855    
       745.0          0.4885          0.3822    
       750.0          0.4842          0.3789    
       755.0          0.4827          0.3779    
       760.0          0.4813          0.3768    
       765.0          0.4798          0.3758    
       770.0          0.4783          0.3747    
       775.0          0.4768          0.3737    
       780.0          0.4754          0.3726    
       785.0          0.4739          0.3716    
       790.0          0.4724          0.3705    
       795.0          0.4709          0.3695    
       800.0          0.4695          0.3684    
       805.0          0.4680          0.3674    
       810.0          0.4665          0.3663    
       815.0          0.4651          0.3653    
       820.0          0.4636          0.3642    
       825.0          0.4621          0.3632    
       830.0          0.4606          0.3621    
       835.0          0.4592          0.3611    
       840.0          0.4577          0.3600    
       845.0          0.4562          0.3589    
       850.0          0.4547          0.3579    
       855.0          0.4533          0.3568    
       860.0          0.4518          0.3558    
       865.0          0.4503          0.3547    
       870.0          0.4488          0.3537    
       875.0          0.4474          0.3526    
       880.0          0.4459          0.3516    
       885.0          0.4444          0.3505    
       890.0          0.4429          0.3495    
       895.0          0.4415          0.3484    
       900.0          0.4400          0.3474    
       905.0          0.4385          0.3463    
       910.0          0.4371          0.3453    
       915.0          0.4356          0.3442    
       920.0          0.4341          0.3432    
       925.0          0.4326          0.3421    
       930.0          0.4312          0.3411    
       935.0          0.4297          0.3400    
       940.0          0.4282          0.3389    
       945.0          0.4267          0.3379    
       950.0          0.4253          0.3368    
       955.0          0.4238          0.3358    
       960.0          0.4223          0.3347    
       965.0          0.4208          0.3337    
       970.0          0.4194          0.3326    
       975.0          0.4179          0.3316    
       980.0          0.4164          0.3305    
       985.0          0.4149          0.3295    
       990.0          0.4135          0.3284    
       995.0          0.4120          0.3274    
       1000.          0.4105          0.3263    
       1005.          0.4102          0.3261    
       1010.          0.4098          0.3258    
       1015.          0.4094          0.3255    
       1020.          0.4091          0.3253    
       1025.          0.4087          0.3250    
       1030.          0.4083          0.3247    
       1035.          0.4079          0.3245    
       1040.          0.4076          0.3242    
       1045.          0.4072          0.3239    
       1050.          0.4068          0.3237    
       1055.          0.4065          0.3234    
       1060.          0.4061          0.3232    
       1065.          0.4057          0.3229    
       1070.          0.4054          0.3226    
       1075.          0.4050          0.3224    
       1080.          0.4046          0.3221    
       1085.          0.4043          0.3218    
       1090.          0.4039          0.3216    
       1095.          0.4035          0.3213    
       1100.          0.4032          0.3211    
       1105.          0.4028          0.3208    
       1110.          0.4024          0.3205    
       1115.          0.4021          0.3203    
       1120.          0.4017          0.3200    
       1125.          0.4013          0.3197    
       1130.          0.4009          0.3195    
       1135.          0.4006          0.3192    
       1140.          0.4002          0.3189    
       1145.          0.3998          0.3187    
       1150.          0.3995          0.3184    
       1155.          0.3991          0.3182    
       1160.          0.3987          0.3179    
       1165.          0.3984          0.3176    
       1170.          0.3980          0.3174    
       1175.          0.3976          0.3171    
       1180.          0.3973          0.3168    
       1185.          0.3969          0.3166    
       1190.          0.3965          0.3163    
       1195.          0.3962          0.3161    
       1200.          0.3958          0.3158    
       1205.          0.3954          0.3155    
       1210.          0.3951          0.3153    
       1215.          0.3947          0.3150    
       1220.          0.3943          0.3147    
       1225.          0.3939          0.3145    
       1230.          0.3936          0.3142    
       1235.          0.3932          0.3139    
       1240.          0.3928          0.3137    
       1245.          0.3925          0.3134    
       1250.          0.3921          0.3132    
       1255.          0.3917          0.3129    
       1260.          0.3914          0.3126    
       1265.          0.3910          0.3124    
       1270.          0.3906          0.3121    
       1275.          0.3903          0.3118    
       1280.          0.3899          0.3116    
       1285.          0.3895          0.3113    
       1290.          0.3892          0.3111    
       1295.          0.3888          0.3108    
       1300.          0.3884          0.3105    
       1305.          0.3881          0.3103    
       1310.          0.3877          0.3100    
       1315.          0.3873          0.3097    
       1320.          0.3869          0.3095    
       1325.          0.3866          0.3092    
       1330.          0.3862          0.3089    
       1335.          0.3858          0.3087    
       1340.          0.3855          0.3084    
       1345.          0.3851          0.3082    
       1350.          0.3847          0.3079    
       1355.          0.3844          0.3076    
       1360.          0.3840          0.3074    
       1365.          0.3836          0.3071    
       1370.          0.3833          0.3068    
       1375.          0.3829          0.3066    
       1380.          0.3825          0.3063    
       1385.          0.3822          0.3061    
       1390.          0.3818          0.3058    
       1395.          0.3814          0.3055    
       1400.          0.3811          0.3053    
       1405.          0.3807          0.3050    
       1410.          0.3803          0.3047    
       1415.          0.3799          0.3045    
       1420.          0.3796          0.3042    
       1425.          0.3792          0.3039    
       1430.          0.3788          0.3037    
       1435.          0.3785          0.3034    
       1440.          0.3781          0.3032    
       1445.          0.3777          0.3029    
       1450.          0.3774          0.3026    
       1455.          0.3770          0.3024    
       1460.          0.3766          0.3021    
       1465.          0.3763          0.3018    
       1470.          0.3759          0.3016    
       1475.          0.3755          0.3013    
       1480.          0.3752          0.3011    
       1485.          0.3748          0.3008    
       1490.          0.3744          0.3005    
       1495.          0.3741          0.3003    
       1500.          0.3737          0.3000    
       1505.          0.3733          0.2997    
       1510.          0.3729          0.2995    
       1515.          0.3726          0.2992    
       1520.          0.3722          0.2989    
       1525.          0.3718          0.2987    
       1530.          0.3715          0.2984    
       1535.          0.3711          0.2982    
       1540.          0.3707          0.2979    
       1545.          0.3704          0.2976    
       1550.          0.3700          0.2974    
       1555.          0.3696          0.2971    
       1560.          0.3693          0.2968    
       1565.          0.3689          0.2966    
       1570.          0.3685          0.2963    
       1575.          0.3682          0.2961    
       1580.          0.3678          0.2958    
       1585.          0.3674          0.2955    
       1590.          0.3671          0.2953    
       1595.          0.3667          0.2950    
       1600.          0.3663          0.2947    
       1605.          0.3659          0.2945    
       1610.          0.3656          0.2942    
       1615.          0.3652          0.2939    
       1620.          0.3648          0.2937    
       1625.          0.3645          0.2934    
       1630.          0.3641          0.2932    
       1635.          0.3637          0.2929    
       1640.          0.3634          0.2926    
       1645.          0.3630          0.2924    
       1650.          0.3626          0.2921    
       1655.          0.3623          0.2918    
       1660.          0.3619          0.2916    
       1665.          0.3615          0.2913    
       1670.          0.3612          0.2911    
       1675.          0.3608          0.2908    
       1680.          0.3604          0.2905    
       1685.          0.3601          0.2903    
       1690.          0.3597          0.2900    
       1695.          0.3593          0.2897    
       1700.          0.3589          0.2895    
       1705.          0.3586          0.2892    
       1710.          0.3582          0.2889    
       1715.          0.3578          0.2887    
       1720.          0.3575          0.2884    
       1725.          0.3571          0.2882    
       1730.          0.3567          0.2879    
       1735.          0.3564          0.2876    
       1740.          0.3560          0.2874    
       1745.          0.3556          0.2871    
       1750.          0.3553          0.2868    
       1755.          0.3549          0.2866    
       1760.          0.3545          0.2863    
       1765.          0.3542          0.2861    
       1770.          0.3538          0.2858    
       1775.          0.3534          0.2855    
       1780.          0.3531          0.2853    
       1785.          0.3527          0.2850    
       1790.          0.3523          0.2847    
       1795.          0.3519          0.2845    
       1800.          0.3516          0.2842    
       1805.          0.3512          0.2839    
       1810.          0.3508          0.2837    
       1815.          0.3505          0.2834    
       1820.          0.3501          0.2832    
       1825.          0.3497          0.2829    
       1830.          0.3494          0.2826    
       1835.          0.3490          0.2824    
       1840.          0.3486          0.2821    
       1845.          0.3483          0.2818    
       1850.          0.3479          0.2816    
       1855.          0.3475          0.2813    
       1860.          0.3472          0.2811    
       1865.          0.3468          0.2808    
       1870.          0.3464          0.2805    
       1875.          0.3461          0.2803    
       1880.          0.3457          0.2800    
