# ATLAS, arXiv:1807.08567, July 2018, Fig. 4b
# 8567_Atlas_X-HH-WWgaga_13TeV_36.1fb-1.txt
# limit set on sigma(pp->X) x BR(X->HH) x BR(H->WW) x BR(H->gaga) x 2 [symmetryfactor] in pb
# MX	obs		exp

       260.0          0.3944E-01      0.1726E-01
       261.0          0.3928E-01      0.1720E-01
       262.0          0.3912E-01      0.1713E-01
       263.0          0.3896E-01      0.1707E-01
       264.0          0.3879E-01      0.1700E-01
       265.0          0.3863E-01      0.1694E-01
       266.0          0.3847E-01      0.1687E-01
       267.0          0.3831E-01      0.1681E-01
       268.0          0.3814E-01      0.1674E-01
       269.0          0.3798E-01      0.1667E-01
       270.0          0.3782E-01      0.1661E-01
       271.0          0.3766E-01      0.1654E-01
       272.0          0.3750E-01      0.1648E-01
       273.0          0.3733E-01      0.1641E-01
       274.0          0.3717E-01      0.1635E-01
       275.0          0.3701E-01      0.1628E-01
       276.0          0.3685E-01      0.1622E-01
       277.0          0.3668E-01      0.1615E-01
       278.0          0.3652E-01      0.1609E-01
       279.0          0.3636E-01      0.1602E-01
       280.0          0.3620E-01      0.1596E-01
       281.0          0.3604E-01      0.1589E-01
       282.0          0.3587E-01      0.1583E-01
       283.0          0.3571E-01      0.1576E-01
       284.0          0.3555E-01      0.1570E-01
       285.0          0.3539E-01      0.1563E-01
       286.0          0.3522E-01      0.1556E-01
       287.0          0.3506E-01      0.1550E-01
       288.0          0.3490E-01      0.1543E-01
       289.0          0.3474E-01      0.1537E-01
       290.0          0.3458E-01      0.1530E-01
       291.0          0.3441E-01      0.1524E-01
       292.0          0.3425E-01      0.1517E-01
       293.0          0.3409E-01      0.1511E-01
       294.0          0.3393E-01      0.1504E-01
       295.0          0.3376E-01      0.1498E-01
       296.0          0.3360E-01      0.1491E-01
       297.0          0.3344E-01      0.1485E-01
       298.0          0.3328E-01      0.1478E-01
       299.0          0.3312E-01      0.1472E-01
       300.0          0.3295E-01      0.1465E-01
       301.0          0.3279E-01      0.1459E-01
       302.0          0.3263E-01      0.1452E-01
       303.0          0.3247E-01      0.1446E-01
       304.0          0.3230E-01      0.1439E-01
