# CMS, CMS-PAS-HIG-17-033, March 2019
# 170331_CMS_gg_VBF-H-WW_13TeV_35.9fb-1.txt
# Limit is set on sigma(pp->H (ggF+VBF)) x BR(H->WW) in pb.
# MH     obs     exp

       200.0           5.364           5.645    
       205.0           5.506           5.451    
       210.0           5.648           5.257    
       215.0           5.789           5.063    
       220.0           5.931           4.869    
       225.0           6.072           4.675    
       230.0           6.214           4.481    
       235.0           6.355           4.287    
       240.0           6.497           4.183    
       245.0           6.638           4.079    
       250.0           6.780           3.975    
       255.0           6.921           3.871    
       260.0           6.680           3.829    
       265.0           6.438           3.787    
       270.0           6.197           3.744    
       275.0           5.955           3.702    
       280.0           5.713           3.659    
       285.0           5.472           3.617    
       290.0           5.230           3.574    
       295.0           4.988           3.532    
       300.0           4.747           3.395    
       305.0           4.407           3.258    
       310.0           4.068           3.121    
       315.0           3.728           2.984    
       320.0           3.389           2.847    
       325.0           3.049           2.710    
       330.0           2.710           2.587    
       335.0           2.479           2.465    
       340.0           2.247           2.343    
       345.0           2.016           2.220    
       350.0           1.924           2.098    
       355.0           1.832           1.976    
       360.0           1.740           1.894    
       365.0           1.647           1.813    
       370.0           1.555           1.732    
       375.0           1.463           1.651    
       380.0           1.371           1.570    
       385.0           1.278           1.489    
       390.0           1.186           1.407    
       395.0           1.094           1.326    
       400.0           1.059           1.245    
       405.0           1.025           1.164    
       410.0          0.9900           1.083    
       415.0          0.9553           1.045    
       420.0          0.9207           1.007    
       425.0          0.8861          0.9697    
       430.0          0.8514          0.9321    
       435.0          0.8168          0.8944    
       440.0          0.7822          0.8567    
       445.0          0.7475          0.8191    
       450.0          0.7129          0.7814    
       455.0          0.7290          0.7703    
       460.0          0.7451          0.7592    
       465.0          0.7613          0.7482    
       470.0          0.7774          0.7371    
       475.0          0.7935          0.7260    
       480.0          0.8096          0.7149    
       485.0          0.8258          0.7038    
       490.0          0.8419          0.6928    
       495.0          0.8580          0.6817    
       500.0          0.8741          0.6706    
       505.0          0.8448          0.6501    
       510.0          0.8156          0.6295    
       515.0          0.7863          0.6089    
       520.0          0.7570          0.5884    
       525.0          0.7278          0.5678    
       530.0          0.6985          0.5473    
       535.0          0.6692          0.5267    
       540.0          0.6400          0.5061    
       545.0          0.6107          0.4856    
       550.0          0.5814          0.4650    
       555.0          0.5637          0.4445    
       560.0          0.5461          0.4239    
       565.0          0.5284          0.4144    
       570.0          0.5107          0.4049    
       575.0          0.4930          0.3954    
       580.0          0.4753          0.3859    
       585.0          0.4576          0.3763    
       590.0          0.4399          0.3668    
       595.0          0.4222          0.3573    
       600.0          0.4045          0.3478    
       605.0          0.3868          0.3383    
       610.0          0.3692          0.3288    
       615.0          0.3515          0.3193    
       620.0          0.3338          0.3097    
       625.0          0.3161          0.3002    
       630.0          0.2984          0.2907    
       635.0          0.2807          0.2864    
       640.0          0.2630          0.2821    
       645.0          0.2453          0.2778    
       650.0          0.2276          0.2736    
       655.0          0.2231          0.2693    
       660.0          0.2186          0.2650    
       665.0          0.2140          0.2607    
       670.0          0.2095          0.2564    
       675.0          0.2050          0.2521    
       680.0          0.2004          0.2478    
       685.0          0.1959          0.2435    
       690.0          0.1914          0.2392    
       695.0          0.1868          0.2349    
       700.0          0.1823          0.2306    
