# CMS, CMS-PAS-HIG-17-033, March 2019
# 170332_CMS_gg-H-WW_13TeV_35.9fb-1.txt
# Limit is set on sigma(gg->H) x BR(H->WW) in pb. (f_VBF floating)
# MH     obs     exp

       200.0           10.20           6.284    
       205.0           10.02           6.044    
       210.0           9.834           5.804    
       215.0           9.650           5.564    
       220.0           9.465           5.323    
       225.0           9.280           5.083    
       230.0           9.095           4.914    
       235.0           8.910           4.746    
       240.0           8.726           4.577    
       245.0           8.541           4.408    
       250.0           8.356           4.239    
       255.0           8.171           4.071    
       260.0           7.734           3.999    
       265.0           7.297           3.927    
       270.0           6.860           3.856    
       275.0           6.423           3.784    
       280.0           5.986           3.713    
       285.0           5.549           3.641    
       290.0           5.112           3.570    
       295.0           4.675           3.498    
       300.0           4.238           3.361    
       305.0           3.998           3.224    
       310.0           3.757           3.087    
       315.0           3.517           2.949    
       320.0           3.276           2.812    
       325.0           3.036           2.675    
       330.0           2.795           2.538    
       335.0           2.555           2.400    
       340.0           2.314           2.263    
       345.0           2.074           2.126    
       350.0           1.833           1.989    
       355.0           1.751           1.852    
       360.0           1.668           1.781    
       365.0           1.586           1.711    
       370.0           1.504           1.641    
       375.0           1.422           1.571    
       380.0           1.339           1.501    
       385.0           1.257           1.431    
       390.0           1.175           1.361    
       395.0           1.092           1.291    
       400.0           1.010           1.221    
       405.0          0.9728           1.150    
       410.0          0.9355           1.080    
       415.0          0.8982           1.010    
       420.0          0.8609          0.9687    
       425.0          0.8236          0.9272    
       430.0          0.7863          0.8857    
       435.0          0.7490          0.8443    
       440.0          0.7117          0.8028    
       445.0          0.6744          0.7613    
       450.0          0.6897          0.7440    
       455.0          0.7050          0.7266    
       460.0          0.7202          0.7092    
       465.0          0.7355          0.6918    
       470.0          0.7507          0.6744    
       475.0          0.7660          0.6652    
       480.0          0.7812          0.6559    
       485.0          0.7965          0.6467    
       490.0          0.8117          0.6374    
       495.0          0.8270          0.6282    
       500.0          0.8422          0.6189    
       505.0          0.8263          0.6097    
       510.0          0.8103          0.5875    
       515.0          0.7943          0.5654    
       520.0          0.7783          0.5432    
       525.0          0.7623          0.5211    
       530.0          0.7464          0.4989    
       535.0          0.7304          0.4768    
       540.0          0.7144          0.4546    
       545.0          0.6984          0.4325    
       550.0          0.6824          0.4251    
       555.0          0.6665          0.4177    
       560.0          0.6505          0.4104    
       565.0          0.6345          0.4030    
       570.0          0.6185          0.3956    
       575.0          0.6025          0.3883    
       580.0          0.5866          0.3809    
       585.0          0.5706          0.3735    
       590.0          0.5546          0.3662    
       595.0          0.5386          0.3588    
       600.0          0.5226          0.3514    
       605.0          0.5067          0.3441    
       610.0          0.4907          0.3367    
       615.0          0.4747          0.3293    
       620.0          0.4587          0.3220    
       625.0          0.4427          0.3146    
       630.0          0.4267          0.3072    
       635.0          0.4108          0.2999    
       640.0          0.3948          0.2925    
       645.0          0.3788          0.2851    
       650.0          0.3628          0.2778    
       655.0          0.3468          0.2704    
       660.0          0.3309          0.2630    
       665.0          0.3149          0.2557    
       670.0          0.2989          0.2483    
       675.0          0.2829          0.2409    
       680.0          0.2669          0.2336    
       685.0          0.2510          0.2262    
       690.0          0.2350          0.2188    
       695.0          0.2190          0.2115    
       700.0          0.2030          0.2041    
       705.0          0.1870          0.1967    
       710.0          0.1841          0.1933    
       715.0          0.1812          0.1900    
       720.0          0.1783          0.1866    
       725.0          0.1754          0.1832    
       730.0          0.1724          0.1798    
       735.0          0.1695          0.1764    
       740.0          0.1666          0.1731    
       745.0          0.1637          0.1697    
       750.0          0.1607          0.1663    
       755.0          0.1578          0.1629    
       760.0          0.1549          0.1596    
       765.0          0.1520          0.1562    
       770.0          0.1491          0.1528    
       775.0          0.1461          0.1494    
       780.0          0.1432          0.1460    
       785.0          0.1403          0.1427    
       790.0          0.1374          0.1393    
       795.0          0.1345          0.1359    
       800.0          0.1315          0.1325    
       805.0          0.1286          0.1291    
       810.0          0.1257          0.1258    
       815.0          0.1228          0.1224    
       820.0          0.1199          0.1207    
       825.0          0.1169          0.1190    
       830.0          0.1140          0.1174    
       835.0          0.1111          0.1157    
       840.0          0.1082          0.1140    
       845.0          0.1053          0.1123    
       850.0          0.1023          0.1107    
       855.0          0.9941E-01      0.1090    
       860.0          0.9649E-01      0.1073    
       865.0          0.9357E-01      0.1056    
       870.0          0.9065E-01      0.1040    
       875.0          0.8772E-01      0.1023    
       880.0          0.8480E-01      0.1006    
       885.0          0.8188E-01      0.9894E-01
       890.0          0.7896E-01      0.9726E-01
       895.0          0.7604E-01      0.9559E-01
       900.0          0.7312E-01      0.9391E-01
       905.0          0.7273E-01      0.9224E-01
       910.0          0.7235E-01      0.9181E-01
       915.0          0.7196E-01      0.9138E-01
       920.0          0.7158E-01      0.9095E-01
       925.0          0.7119E-01      0.9052E-01
       930.0          0.7081E-01      0.9009E-01
       935.0          0.7042E-01      0.8966E-01
       940.0          0.7004E-01      0.8923E-01
       945.0          0.6965E-01      0.8880E-01
       950.0          0.6927E-01      0.8837E-01
       955.0          0.6888E-01      0.8794E-01
       960.0          0.6850E-01      0.8751E-01
       965.0          0.6811E-01      0.8708E-01
       970.0          0.6773E-01      0.8665E-01
       975.0          0.6734E-01      0.8622E-01
       980.0          0.6696E-01      0.8579E-01
       985.0          0.6657E-01      0.8537E-01
       990.0          0.6619E-01      0.8494E-01
       995.0          0.6580E-01      0.8451E-01
       1000.          0.6542E-01      0.8408E-01
       1005.          0.6503E-01      0.8365E-01
       1010.          0.6465E-01      0.8322E-01
       1015.          0.6426E-01      0.8279E-01
       1020.          0.6388E-01      0.8236E-01
       1025.          0.6349E-01      0.8193E-01
       1030.          0.6311E-01      0.8150E-01
       1035.          0.6272E-01      0.8107E-01
       1040.          0.6234E-01      0.8064E-01
       1045.          0.6195E-01      0.8021E-01
       1050.          0.6157E-01      0.7978E-01
       1055.          0.6118E-01      0.7935E-01
       1060.          0.6080E-01      0.7892E-01
       1065.          0.6041E-01      0.7849E-01
       1070.          0.6003E-01      0.7806E-01
       1075.          0.5964E-01      0.7763E-01
       1080.          0.5926E-01      0.7720E-01
       1085.          0.5887E-01      0.7677E-01
       1090.          0.5848E-01      0.7634E-01
       1095.          0.5810E-01      0.7591E-01
       1100.          0.5771E-01      0.7548E-01
       1105.          0.5733E-01      0.7506E-01
       1110.          0.5694E-01      0.7463E-01
       1115.          0.5656E-01      0.7420E-01
       1120.          0.5617E-01      0.7377E-01
       1125.          0.5579E-01      0.7334E-01
       1130.          0.5540E-01      0.7291E-01
       1135.          0.5502E-01      0.7248E-01
       1140.          0.5463E-01      0.7205E-01
       1145.          0.5425E-01      0.7162E-01
       1150.          0.5386E-01      0.7119E-01
       1155.          0.5348E-01      0.7076E-01
       1160.          0.5309E-01      0.7033E-01
       1165.          0.5271E-01      0.6990E-01
       1170.          0.5232E-01      0.6947E-01
       1175.          0.5194E-01      0.6904E-01
       1180.          0.5155E-01      0.6861E-01
       1185.          0.5117E-01      0.6818E-01
       1190.          0.5078E-01      0.6775E-01
       1195.          0.5040E-01      0.6732E-01
       1200.          0.5001E-01      0.6689E-01
       1205.          0.4963E-01      0.6646E-01
       1210.          0.4924E-01      0.6603E-01
