# CMS, CMS-PAS-HIG-18-005, Fig. 5a
# 180051_CMS_gg-A-Zh-Zbb_13TeV_35.9fb-1.txt
# Limit is set on sigma(gg->A) x BR(A->Zh) x BR(h->bb) in pb
# MA	obs		exp

       220.0          0.8773          0.6329    
       221.0          0.8401          0.6418    
       222.0          0.8030          0.6507    
       223.0          0.7658          0.6596    
       224.0          0.7287          0.6685    
       225.0          0.6915          0.6774    
       226.0          0.6544          0.6863    
       227.0          0.6172          0.6952    
       228.0          0.5800          0.7041    
       229.0          0.5429          0.7017    
       230.0          0.5057          0.6994    
       231.0          0.4686          0.6970    
       232.0          0.4314          0.6947    
       233.0          0.3943          0.6923    
       234.0          0.3998          0.6900    
       235.0          0.4053          0.6877    
       236.0          0.4109          0.6853    
       237.0          0.4164          0.6830    
       238.0          0.4219          0.6806    
       239.0          0.4828          0.6711    
       240.0          0.5436          0.6615    
       241.0          0.6045          0.6520    
       242.0          0.6653          0.6425    
       243.0          0.7262          0.6329    
       244.0          0.7473          0.6310    
       245.0          0.7684          0.6291    
       246.0          0.7895          0.6271    
       247.0          0.8106          0.6252    
       248.0          0.8318          0.6233    
       249.0          0.7972          0.6214    
       250.0          0.7627          0.6194    
       251.0          0.7282          0.6175    
       252.0          0.6936          0.6156    
       253.0          0.6591          0.6137    
       254.0          0.6694          0.6117    
       255.0          0.6797          0.6098    
       256.0          0.6900          0.6079    
       257.0          0.7004          0.6059    
       258.0          0.7107          0.6008    
       259.0          0.7210          0.5957    
       260.0          0.7313          0.5906    
       261.0          0.7416          0.5855    
       262.0          0.7519          0.5803    
       263.0          0.7623          0.5752    
       264.0          0.7568          0.5701    
       265.0          0.7514          0.5650    
       266.0          0.7460          0.5599    
       267.0          0.7406          0.5547    
       268.0          0.7351          0.5496    
       269.0          0.7297          0.5445    
       270.0          0.7097          0.5394    
       271.0          0.6896          0.5343    
       272.0          0.6696          0.5275    
       273.0          0.6496          0.5207    
       274.0          0.6670          0.5140    
       275.0          0.6845          0.5125    
       276.0          0.7019          0.5110    
       277.0          0.7194          0.5095    
       278.0          0.7368          0.5081    
       279.0          0.7392          0.5066    
       280.0          0.7416          0.5051    
       281.0          0.7440          0.5037    
       282.0          0.7464          0.5022    
       283.0          0.7488          0.5007    
       284.0          0.7512          0.4992    
       285.0          0.7328          0.4927    
       286.0          0.7144          0.4861    
       287.0          0.6959          0.4795    
       288.0          0.6775          0.4729    
       289.0          0.6591          0.4664    
       290.0          0.6277          0.4598    
       291.0          0.5964          0.4529    
       292.0          0.5651          0.4460    
       293.0          0.5337          0.4391    
       294.0          0.5024          0.4322    
       295.0          0.4645          0.4253    
       296.0          0.4267          0.4184    
       297.0          0.3888          0.4114    
       298.0          0.3510          0.4045    
       299.0          0.3406          0.3976    
       300.0          0.3302          0.3943    
       301.0          0.3198          0.3909    
       302.0          0.3095          0.3876    
       303.0          0.2991          0.3842    
       304.0          0.2909          0.3809    
       305.0          0.2827          0.3775    
       306.0          0.2745          0.3741    
       307.0          0.2663          0.3708    
       308.0          0.2582          0.3674    
       309.0          0.2500          0.3641    
       310.0          0.2434          0.3607    
       311.0          0.2368          0.3574    
       312.0          0.2302          0.3540    
       313.0          0.2236          0.3518    
       314.0          0.2270          0.3495    
       315.0          0.2303          0.3473    
       316.0          0.2337          0.3450    
       317.0          0.2371          0.3428    
       318.0          0.2405          0.3406    
       319.0          0.2508          0.3334    
       320.0          0.2610          0.3262    
       321.0          0.2713          0.3190    
       322.0          0.2816          0.3118    
       323.0          0.2919          0.3047    
       324.0          0.3109          0.3032    
       325.0          0.3298          0.3018    
       326.0          0.3488          0.3003    
       327.0          0.3677          0.2989    
       328.0          0.3867          0.2974    
       329.0          0.3929          0.2960    
