# CMS, CMS-PAS-HIG-18-005, Fig. 5b
# 180052_CMS_bb-A-Zh-Zbb_13TeV_35.9fb-1.txt
# Limit is set on sigma(bb->A) x BR(A->Zh) x BR(h->bb) in pb
# MA	obs		exp

       220.0          0.9311          0.6079    
       221.0          0.8923          0.6185    
       222.0          0.8535          0.6290    
       223.0          0.8148          0.6396    
       224.0          0.7760          0.6502    
       225.0          0.7372          0.6607    
       226.0          0.6984          0.6713    
       227.0          0.6596          0.6819    
       228.0          0.6208          0.6924    
       229.0          0.5821          0.7030    
       230.0          0.5433          0.7042    
       231.0          0.5045          0.7053    
       232.0          0.4657          0.7064    
       233.0          0.4665          0.7076    
       234.0          0.4672          0.7087    
       235.0          0.4680          0.7099    
       236.0          0.4687          0.7014    
       237.0          0.4695          0.6929    
       238.0          0.4702          0.6845    
       239.0          0.5161          0.6760    
       240.0          0.5620          0.6676    
       241.0          0.6079          0.6591    
       242.0          0.6537          0.6506    
       243.0          0.6996          0.6422    
       244.0          0.7215          0.6337    
       245.0          0.7434          0.6253    
       246.0          0.7653          0.6168    
       247.0          0.7872          0.6188    
       248.0          0.8091          0.6209    
       249.0          0.7852          0.6229    
       250.0          0.7612          0.6249    
       251.0          0.7373          0.6270    
       252.0          0.7134          0.6290    
       253.0          0.6895          0.6310    
       254.0          0.6988          0.6331    
       255.0          0.7080          0.6351    
       256.0          0.7173          0.6371    
       257.0          0.7265          0.6392    
       258.0          0.7358          0.6412    
       259.0          0.7451          0.6364    
       260.0          0.7543          0.6317    
       261.0          0.7636          0.6269    
       262.0          0.7728          0.6222    
       263.0          0.7821          0.6174    
       264.0          0.7759          0.6127    
       265.0          0.7698          0.6079    
       266.0          0.7636          0.5999    
       267.0          0.7574          0.5919    
       268.0          0.7513          0.5839    
       269.0          0.7451          0.5759    
       270.0          0.7207          0.5679    
       271.0          0.6963          0.5598    
       272.0          0.6719          0.5518    
       273.0          0.6474          0.5438    
       274.0          0.6714          0.5451    
       275.0          0.6953          0.5465    
       276.0          0.7192          0.5478    
       277.0          0.7431          0.5491    
       278.0          0.7671          0.5505    
       279.0          0.7716          0.5518    
       280.0          0.7761          0.5531    
       281.0          0.7807          0.5545    
       282.0          0.7852          0.5501    
       283.0          0.7897          0.5457    
       284.0          0.7710          0.5413    
       285.0          0.7523          0.5370    
       286.0          0.7336          0.5326    
       287.0          0.7149          0.5282    
       288.0          0.6962          0.5204    
       289.0          0.6645          0.5125    
       290.0          0.6327          0.5046    
       291.0          0.6010          0.4967    
       292.0          0.5692          0.4888    
       293.0          0.5375          0.4809    
       294.0          0.5057          0.4731    
       295.0          0.4747          0.4652    
       296.0          0.4438          0.4573    
       297.0          0.4128          0.4494    
       298.0          0.3818          0.4415    
       299.0          0.3758          0.4387    
       300.0          0.3697          0.4359    
       301.0          0.3637          0.4332    
       302.0          0.3577          0.4304    
       303.0          0.3516          0.4276    
       304.0          0.3442          0.4248    
       305.0          0.3368          0.4199    
       306.0          0.3294          0.4150    
       307.0          0.3220          0.4102    
       308.0          0.3145          0.4053    
       309.0          0.3116          0.4005    
       310.0          0.3086          0.3956    
       311.0          0.3056          0.3908    
       312.0          0.3026          0.3859    
       313.0          0.2997          0.3811    
       314.0          0.3074          0.3762    
       315.0          0.3151          0.3713    
       316.0          0.3228          0.3665    
       317.0          0.3305          0.3616    
       318.0          0.3382          0.3568    
       319.0          0.3459          0.3508    
       320.0          0.3537          0.3448    
       321.0          0.3614          0.3387    
       322.0          0.3691          0.3327    
       323.0          0.3886          0.3267    
       324.0          0.4082          0.3207    
       325.0          0.4278          0.3223    
       326.0          0.4473          0.3238    
       327.0          0.4669          0.3254    
       328.0          0.4865          0.3270    
       329.0          0.4938          0.3286    
       330.0          0.5011          0.3249    
       331.0          0.5085          0.3213    
       332.0          0.5158          0.3177    
       333.0          0.5231          0.3141    
       334.0          0.5130          0.3105    
       335.0          0.5029          0.3069    
       336.0          0.4928          0.3032    
       337.0          0.4827          0.2996    
       338.0          0.4725          0.2960    
       339.0          0.4508          0.2924    
       340.0          0.4290          0.2888    
       341.0          0.4073          0.2852    
       342.0          0.3855          0.2815    
       343.0          0.3638          0.2779    
       344.0          0.3397          0.2743    
       345.0          0.3156          0.2707    
       346.0          0.2915          0.2612    
       347.0          0.2674          0.2517    
       348.0          0.2433          0.2421    
       349.0          0.2427          0.2416    
       350.0          0.2420          0.2410    
       351.0          0.2414          0.2404    
       352.0          0.2408          0.2398    
       353.0          0.2401          0.2392    
       354.0          0.2395          0.2387    
       355.0          0.2389          0.2381    
       356.0          0.2382          0.2375    
       357.0          0.2376          0.2369    
       358.0          0.2370          0.2363    
       359.0          0.2363          0.2345    
       360.0          0.2449          0.2326    
       361.0          0.2534          0.2307    
       362.0          0.2619          0.2289    
       363.0          0.2704          0.2270    
       364.0          0.2789          0.2251    
       365.0          0.2875          0.2233    
       366.0          0.2960          0.2214    
       367.0          0.3045          0.2195    
       368.0          0.3130          0.2177    
       369.0          0.3186          0.2154    
       370.0          0.3242          0.2131    
       371.0          0.3298          0.2109    
       372.0          0.3354          0.2086    
       373.0          0.3411          0.2063    
       374.0          0.3467          0.2041    
       375.0          0.3523          0.2018    
       376.0          0.3579          0.1996    
       377.0          0.3635          0.1973    
       378.0          0.3691          0.1950    
       379.0          0.3677          0.1928    
       380.0          0.3662          0.1905    
       381.0          0.3648          0.1882    
       382.0          0.3634          0.1860    
       383.0          0.3619          0.1837    
       384.0          0.3605          0.1815    
       385.0          0.3591          0.1792    
       386.0          0.3576          0.1769    
       387.0          0.3562          0.1747    
       388.0          0.3548          0.1724    
       389.0          0.3533          0.1701    
       390.0          0.3486          0.1679    
       391.0          0.3438          0.1656    
       392.0          0.3391          0.1634    
       393.0          0.3344          0.1611    
       394.0          0.3296          0.1588    
       395.0          0.3249          0.1566    
       396.0          0.3201          0.1543    
       397.0          0.3154          0.1537    
       398.0          0.3106          0.1531    
       399.0          0.3059          0.1525    
       400.0          0.3011          0.1519    
       401.0          0.2950          0.1513    
       402.0          0.2888          0.1507    
       403.0          0.2826          0.1501    
       404.0          0.2765          0.1495    
       405.0          0.2703          0.1489    
       406.0          0.2642          0.1483    
       407.0          0.2580          0.1477    
       408.0          0.2518          0.1479    
       409.0          0.2457          0.1481    
       410.0          0.2390          0.1482    
       411.0          0.2322          0.1484    
       412.0          0.2255          0.1486    
       413.0          0.2188          0.1487    
       414.0          0.2121          0.1489    
       415.0          0.2053          0.1491    
       416.0          0.1986          0.1492    
       417.0          0.1919          0.1494    
       418.0          0.1852          0.1496    
       419.0          0.1784          0.1497    
       420.0          0.1727          0.1499    
       421.0          0.1670          0.1492    
       422.0          0.1613          0.1485    
       423.0          0.1556          0.1478    
       424.0          0.1499          0.1470    
       425.0          0.1442          0.1463    
       426.0          0.1385          0.1456    
       427.0          0.1328          0.1449    
       428.0          0.1271          0.1442    
       429.0          0.1242          0.1435    
       430.0          0.1214          0.1424    
       431.0          0.1185          0.1413    
       432.0          0.1156          0.1403    
       433.0          0.1127          0.1392    
       434.0          0.1099          0.1381    
       435.0          0.1070          0.1370    
       436.0          0.1041          0.1359    
       437.0          0.1012          0.1349    
       438.0          0.9834E-01      0.1338    
       439.0          0.9757E-01      0.1327    
       440.0          0.9680E-01      0.1316    
       441.0          0.9603E-01      0.1306    
       442.0          0.9527E-01      0.1295    
       443.0          0.9450E-01      0.1284    
       444.0          0.9373E-01      0.1273    
       445.0          0.9297E-01      0.1262    
       446.0          0.9220E-01      0.1252    
       447.0          0.9143E-01      0.1241    
       448.0          0.9067E-01      0.1234    
       449.0          0.8990E-01      0.1226    
       450.0          0.8913E-01      0.1219    
       451.0          0.8837E-01      0.1212    
       452.0          0.8760E-01      0.1205    
       453.0          0.8683E-01      0.1198    
       454.0          0.8607E-01      0.1191    
       455.0          0.8530E-01      0.1184    
       456.0          0.8453E-01      0.1176    
       457.0          0.8376E-01      0.1169    
       458.0          0.8300E-01      0.1162    
       459.0          0.8288E-01      0.1155    
       460.0          0.8276E-01      0.1148    
       461.0          0.8264E-01      0.1141    
       462.0          0.8252E-01      0.1133    
       463.0          0.8240E-01      0.1126    
       464.0          0.8228E-01      0.1117    
       465.0          0.8216E-01      0.1108    
       466.0          0.8204E-01      0.1099    
       467.0          0.8192E-01      0.1091    
       468.0          0.8180E-01      0.1082    
       469.0          0.8234E-01      0.1073    
       470.0          0.8289E-01      0.1064    
       471.0          0.8343E-01      0.1055    
       472.0          0.8398E-01      0.1046    
       473.0          0.8452E-01      0.1037    
       474.0          0.8507E-01      0.1028    
       475.0          0.8561E-01      0.1019    
       476.0          0.8616E-01      0.1010    
       477.0          0.8670E-01      0.1001    
       478.0          0.8724E-01      0.9923E-01
       479.0          0.8779E-01      0.9834E-01
       480.0          0.8833E-01      0.9743E-01
       481.0          0.8888E-01      0.9653E-01
       482.0          0.8942E-01      0.9563E-01
       483.0          0.8997E-01      0.9473E-01
       484.0          0.9051E-01      0.9382E-01
       485.0          0.9105E-01      0.9292E-01
       486.0          0.9160E-01      0.9202E-01
       487.0          0.9214E-01      0.9112E-01
       488.0          0.9269E-01      0.9022E-01
