# CMS, CMS-PAS-HIG-18-005, March 2019
# 18006_CMS_pp-H-hh-tautautautau_13TeV_35.9fb-1.txt
# Limit is set on sigma(pp->H+X) x BR(H->hh) x BR^2(h->tautau)/sigma(pp->H+X)_SM
# Ma     obs     exp

       4.000          0.2305          0.1638    
       5.000          0.1638          0.1266    
       6.000          0.1251          0.9044E-01
       7.000          0.6512E-01      0.5116E-01
       8.000          0.3773E-01      0.3566E-01
       9.000          0.2119E-01      0.2532E-01
       10.00          0.2377E-01      0.2739E-01
       11.00          0.2636E-01      0.3307E-01
       12.00          0.3411E-01      0.4186E-01
       13.00          0.4703E-01      0.5633E-01
       14.00          0.7390E-01      0.8734E-01
       15.00          0.1597          0.1897    
