# CMS, arXiv:1812.06359, CMS-PAS-HIG-18-011, Dec 2018
# 6359_CMS_pp-H-hh-mumubb_13TeV_35.9fb-1.txt
# Limit is set on sigma(pp->H + VBF) x BR(H->hh) x 2 x BR(h->tautau) x x BR(h->mumu) [in fb]
# Ma     obs     exp

       20.50           7.265           7.755    
       21.00           5.714           7.796    
       21.50           5.469           7.837    
       22.00           17.22           7.878    
       22.50           18.37           7.918    
       23.00           6.245           7.959    
       23.50           4.816           8.020    
       24.00           5.837           8.082    
       24.50           9.306           8.143    
       25.00           9.918           8.204    
       25.50           4.694           8.265    
       26.00           4.898           8.327    
       26.50           6.490           8.388    
       27.00           7.102           8.449    
       27.50           4.776           8.551    
       28.00           7.429           8.653    
       28.50           10.29           8.755    
       29.00           8.653           8.857    
       29.50           9.388           8.980    
       30.00           8.653           9.102    
       30.50           6.612           9.245    
       31.00           8.082           9.388    
       31.50           6.163           9.592    
       32.00           5.959           9.796    
       32.50           11.76           10.00    
       33.00           15.88           10.20    
       33.50           13.39           10.42    
       34.00           8.531           10.63    
       34.50           7.184           10.85    
       35.00           13.71           11.06    
       35.50           18.41           11.28    
       36.00           16.29           11.49    
       36.50           14.29           11.70    
       37.00           12.29           11.92    
       37.50           16.24           12.11    
       38.00           17.76           12.31    
       38.50           16.78           12.50    
       39.00           18.16           12.69    
       39.50           20.33           12.86    
       40.00           22.98           13.02    
       40.50           23.06           13.18    
       41.00           17.14           13.35    
       41.50           13.39           13.49    
       42.00           12.24           13.63    
       42.50           10.53           13.67    
       43.00           10.53           13.71    
       43.50           11.88           13.76    
       44.00           10.00           13.80    
       44.50           7.673           13.84    
       45.00           10.86           13.88    
       45.50           15.47           13.84    
       46.00           16.57           13.80    
       46.50           11.67           13.76    
       47.00           9.714           13.71    
       47.50           12.33           13.72    
       48.00           20.04           13.73    
       48.50           28.98           13.74    
       49.00           32.41           13.76    
       49.50           30.08           13.71    
       50.00           23.51           13.67    
       50.50           14.69           13.63    
       51.00           15.92           13.59    
       51.50           18.65           13.55    
       52.00           18.98           13.51    
       52.50           15.92           13.34    
       53.00           12.57           13.16    
       53.50           11.39           12.99    
       54.00           11.59           12.82    
       54.50           10.78           12.67    
       55.00           9.592           12.53    
       55.50           9.551           12.40    
       56.00           9.796           12.27    
       56.50           12.08           12.13    
       57.00           12.45           12.00    
       57.50           11.88           11.94    
       58.00           10.08           11.88    
       58.50           8.408           11.82    
       59.00           7.878           11.76    
       59.50           8.082           11.73    
       60.00           8.327           11.71    
       60.50           12.45           11.61    
       61.00           19.63           11.51    
       61.50           14.57           10.86    
