mh   ctt_W   cbb_W   cvv_W   ctv_W   cbv_W   ctb_W
2  0.0  0.0  415.42763  0.483537  0.0  0.0  415.911167
3  0.0  0.0  327.891066  0.448162  0.0  0.0  328.339228
4  0.0  0.0  270.018227  0.419573  0.0  0.0  270.4378
5  0.0  0.0  228.453021  0.392075  0.0  0.0  228.845096
6  0.0  0.0  196.574993  0.368914  0.0  0.0  196.943907
7  0.0  0.0  171.709234  0.345777  0.0  0.0  172.055011
8  0.0  0.0  151.216691  0.325103  0.0  0.0  151.541794
9  0.0  0.0  133.849316  0.307055  0.0  0.0  134.156371
10  0.0  0.0  120.009418  0.289189  0.0  0.0  120.298607
11  0.0  0.0  107.963534  0.273944  0.0  0.0  108.237478
12  0.0  0.0  97.5683696  0.2583834  0.0  0.0  97.826753
13  0.0  0.0  88.4364216  0.2443446  0.0  0.0  88.6807662
14  0.0  0.0  80.6197874  0.2308254  0.0  0.0  80.8506128
15  0.0  0.0  73.7238207  0.2190441  0.0  0.0  73.9428648
16  0.0  0.0  67.4361132  0.208712  0.0  0.0  67.6448252
17  0.0  0.0  62.0639257  0.1963704  0.0  0.0  62.2602961
18  0.0  0.0  57.1125585  0.1877502  0.0  0.0  57.3003087
19  0.0  0.0  52.7020849  0.1782623  0.0  0.0  52.8803472
20  0.0  0.0  48.7875675  0.1696233  0.0  0.0  48.9571908
21  0.0  0.0  45.2510732  0.1624877  0.0  0.0  45.4135609
22  0.0  0.0  41.9576796  0.1538075  0.0  0.0  42.1114871
23  0.0  0.0  39.108131  0.1468656  0.0  0.0  39.2549966
24  0.0  0.0  36.4270272  0.1400595  0.0  0.0  36.5670867
25  0.0  0.0  34.0155533  0.1336358  0.0  0.0  34.1491891
26  0.0  0.0  31.83181  0.1278042  0.0  0.0  31.9596142
27  0.0  0.0  29.7158226  0.1223392  0.0  0.0  29.8381618
28  0.0  0.0  27.8698073  0.117258  0.0  0.0  27.9870653
29  0.0  0.0  26.1441714  0.112057  0.0  0.0  26.2562284
30  0.0  0.0  24.5503731  0.1072557  0.0  0.0  24.6576288
31  0.0  0.0  23.1152883  0.1026069  0.0  0.0  23.2178952
32  0.0  0.0  21.7470277  0.0980571  0.0  0.0  21.8450848
33  0.0  0.0  20.4751296  0.0946639  0.0  0.0  20.5697935
34  0.0  0.0  19.3015323  0.0900625  0.0  0.0  19.3915948
35  0.0  0.0  18.2165401  0.0865128  0.0  0.0  18.3030529
36  0.0  0.0  17.224773  0.0833948  0.0  0.0  17.3081678
37  0.0  0.0  16.2645354  0.0794883  0.0  0.0  16.3440237
38  0.0  0.0  15.413687  0.0766589  0.0  0.0  15.4903459
39  0.0  0.0  14.5898664  0.073607  0.0  0.0  14.6634734
40  0.0  0.0  13.8335424  0.0708457  0.0  0.0  13.9043881
41  0.0  0.0  13.1024671  0.0685536  0.0  0.0  13.1710207
42  0.0  0.0  12.4499764  0.0658428  0.0  0.0  12.5158192
43  0.0  0.0  11.8307254  0.0633611  0.0  0.0  11.8940865
44  0.0  0.0  11.2314961  0.0606714  0.0  0.0  11.2921675
