mh   ctt_Z   cbb_Z   cvv_Z   ctv_Z   cbv_Z   ctb_Z
1  2.92580874e-05  7.94440229e-05  0.0  0  0  2.484609126e-06  0.000111186719426
2  2.9342718e-05  6.63407807e-05  0.0  0  0  3.22185282e-06  9.890535152e-05
3  2.93151648e-05  5.86244965e-05  0.0  0  0  1.997038352e-06  8.9936699652e-05
4  2.92492855e-05  5.31383892e-05  0.0  0  0  1.834727145e-06  8.4222401845e-05
5  2.93365575e-05  4.88577198e-05  0.0  0  0  1.268194425e-06  7.9462471725e-05
6  2.93461316e-05  4.53732385e-05  0.0  0  0  1.416978684e-06  7.6136348784e-05
7  2.92880279e-05  4.24558398e-05  0.0  0  0  1.869539721e-06  7.3613407421e-05
8  2.92011222e-05  4.0037591e-05  0.0  0  0  1.497118778e-06  7.0735831978e-05
9  2.92199135e-05  3.81595757e-05  0.0  0  0  1.431110865e-06  6.8810600065e-05
10  2.92520788e-05  3.86545642e-05  0.0  0  0  -4.48030787999e-07  6.7458612212e-05
11  2.92107338e-05  3.75861131e-05  0.0  0  0  1.037392662e-06  6.7834239562e-05
12  2.91740392e-05  3.62376041e-05  0.0  0  0  7.40029608001e-07  6.6151672908e-05
13  2.91000766e-05  3.47536898e-05  0.0  0  0  4.471409234e-06  6.8325175634e-05
14  2.9073123e-05  3.33181408e-05  0.0  0  0  -8.5417123e-07  6.153709257e-05
15  2.90805935e-05  3.19227875e-05  0.0  0  0  4.121834065e-06  6.5125215065e-05
16  2.89778695e-05  3.05346388e-05  0.0  0  0  -1.427698695e-06  5.8084809605e-05
17  2.8995266e-05  2.92086944e-05  0.0  0  0  2.06797734e-06  6.027193774e-05
18  2.89124724e-05  2.79622942e-05  0.0  0  0  -8.06544724e-07  5.6068221876e-05
19  2.88661861e-05  2.67489828e-05  0.0  0  0  1.128268139e-06  5.6743437039e-05
20  2.88185793e-05  2.55458788e-05  0.0  0  0  3.029934207e-06  5.7394392307e-05
21  2.88148874e-05  2.44004939e-05  0.0  0  0  3.952731126e-06  5.7168112426e-05
22  2.87410174e-05  2.33759175e-05  0.0  0  0  3.440059826e-06  5.5556994726e-05
23  2.86752373e-05  2.23600533e-05  0.0  0  0  4.156347627e-06  5.5191638227e-05
24  2.86417297e-05  2.13930323e-05  0.0  0  0  3.988152703e-06  5.4022914703e-05
25  2.86125245e-05  2.04799227e-05  0.0  0  0  3.104834755e-06  5.2197281955e-05
26  2.8500112e-05  1.95917858e-05  0.0  0  0  1.77897888e-06  4.987087668e-05
27  2.84381643e-05  1.87702159e-05  0.0  0  0  1.676748357e-06  4.8885128557e-05
28  2.83759942e-05  1.79702141e-05  0.0  0  0  6.93710058e-07  4.7039918358e-05
29  2.83215551e-05  1.72114296e-05  0.0  0  0  4.647644449e-06  5.0180629149e-05
30  2.82428136e-05  1.65429059e-05  0.0  0  0  1.297771864e-06  4.6083491364e-05
31  2.82067288e-05  1.58272881e-05  0.0  0  0  4.080672712e-06  4.8114689612e-05
32  2.81564409e-05  1.51889646e-05  0.0  0  0  2.146615591e-06  4.5492021091e-05
33  2.80437355e-05  1.45414546e-05  0.0  0  0  2.375812645e-06  4.4961002745e-05
34  2.79854415e-05  1.39600976e-05  0.0  0  0  8.09005585e-07  4.2754544685e-05
35  2.79303179e-05  1.34082542e-05  0.0  0  0  2.829666821e-06  4.4168238921e-05
36  2.78615172e-05  1.28774954e-05  0.0  0  0  2.124354828e-06  4.2863367428e-05
37  2.77451588e-05  1.23604823e-05  0.0  0  0  1.849868412e-06  4.1955509512e-05
