m_h	m_H	m_A	tb	xs_gg_h	xs_gg_H	xs_gg_A	xs_bb_h	xs_bb_H	xs_bb_A	br_h_tautau	br_H_tautau	br_A_tautau
61.6251	247.53	70.0	0.5	6.794127	20.0566	567.0034	2.562873	5.3473876e-05	0.24352702	0.0917426	4.90431e-07	0.0286543
71.4178	192.471	70.0	0.7	4.066219	23.101385	285.6017	1.999034	0.0005353317	0.58856463	0.0946629	1.06584e-06	0.060302
67.2036	169.109	70.0	0.8999999999999999	10.168154	22.741213	169.90546	2.783422	0.0060965056	1.046119	0.092784	4.08734e-05	0.0791509
64.6684	162.501	70.0	1.0	13.727863	22.092775	136.44498	3.3634367	0.01109149	1.3167828	0.0918795	0.000125745	0.0841289
57.4023	139.32	70.0	2.0	34.88004	19.154465	35.435837	11.005119	0.08396113	5.5292563	0.0913519	0.00514673	0.0947585
60.7057	132.791	70.0	3.0	43.834923	19.856468	27.866278	19.146975	0.14762937	12.380155	0.0943719	0.00751849	0.0963071
63.2057	129.817	70.0	4.0	57.98529	20.636644	37.91944	29.338984	0.18800247	21.726524	0.097025	0.0114643	0.0977828
64.7269	128.246	70.0	5.0	77.84815	21.186626	56.019077	41.962498	0.21135348	33.431274	0.0993454	0.0668708	0.0993751
65.674	127.331	70.0	6.0	102.60862	21.547318	79.62055	56.952267	0.223491	47.364353	0.101492	0.0701681	0.101053
66.2922	126.759	70.0	7.0	131.68678	21.77407	107.7114	74.19826	0.22865777	63.40257	0.103551	0.0723538	0.10279
66.7142	126.382	70.0	8.0	164.69324	21.923468	139.74602	93.58339	0.22909623	81.42922	0.105564	0.0739351	0.104573
67.0137	126.122	70.0	9.0	201.31589	22.016886	175.36877	114.99064	0.22752409	101.33378	0.107554	0.0751324	0.106391
67.2332	125.937	70.0	10.0	241.2965	22.073141	214.3048	138.30806	0.22453037	123.01153	0.109536	0.0760791	0.108239
67.7714	125.523	70.0	15.0	484.368	22.093699	451.4641	280.00235	0.19747384	254.69925	0.119508	0.0789516	0.117841
67.9661	125.409	70.0	20.0	784.43445	21.966022	744.8712	455.58408	0.16782096	417.8245	0.129765	0.0802397	0.127942
68.0565	125.382	70.0	25.0	1125.5157	21.808046	1079.1038	656.224	0.14085016	604.17255	0.140372	0.0802582	0.138488
68.1042	125.386	70.0	30.0	1495.5082	21.648613	1442.4663	875.11707	0.11743321	807.3918	0.15134	0.0787995	0.149455
68.1307	125.405	70.0	35.0	1885.1353	21.496206	1825.9392	1106.9945	0.09746362	1022.5489	0.162669	0.0660064	0.160831
68.1454	125.427	70.0	40.0	2287.3315	21.354887	2222.5295	1347.7466	0.08060669	1245.8007	0.17436	0.0506634	0.172601
68.1515	125.457	70.0	45.0	2696.3225	21.220936	2626.8076	1594.2714	0.06649353	1474.1476	0.186374	0.0369079	0.184754
