# ATLAS, arXiv:1808.00336, August 2018, Fig. 2(top)
# 336_Atlas_X-HH-bbtautau_13TeV_36.1fb-1.txt
# limit set on sigma(pp->X)xBR(X->HH)xBR(H->tautau)xBR(H->bb) x 2 (in pb)
# MX	obs 	exp

       260.0          0.1069          0.1870    
       265.0          0.1228          0.1938    
       270.0          0.1388          0.2007    
       275.0          0.1547          0.2075    
       280.0          0.1641          0.2003    
       285.0          0.1735          0.1932    
       290.0          0.1829          0.1860    
       295.0          0.1923          0.1789    
       300.0          0.2017          0.1717    
       305.0          0.1903          0.1600    
       310.0          0.1789          0.1483    
       315.0          0.1675          0.1366    
       320.0          0.1562          0.1249    
       325.0          0.1448          0.1132    
       330.0          0.1302          0.1093    
       335.0          0.1156          0.1054    
       340.0          0.1010          0.1014    
       345.0          0.8641E-01      0.9754E-01
       350.0          0.7182E-01      0.9363E-01
       355.0          0.6855E-01      0.8874E-01
       360.0          0.6529E-01      0.8385E-01
       365.0          0.6202E-01      0.7896E-01
       370.0          0.5876E-01      0.7407E-01
       375.0          0.5549E-01      0.6918E-01
       380.0          0.5223E-01      0.6429E-01
       385.0          0.4896E-01      0.5939E-01
       390.0          0.4570E-01      0.5450E-01
       395.0          0.4243E-01      0.4961E-01
       400.0          0.3917E-01      0.4472E-01
       405.0          0.3817E-01      0.4269E-01
       410.0          0.3717E-01      0.4065E-01
       415.0          0.3618E-01      0.3862E-01
       420.0          0.3518E-01      0.3659E-01
       425.0          0.3418E-01      0.3456E-01
       430.0          0.3319E-01      0.3252E-01
       435.0          0.3219E-01      0.3049E-01
       440.0          0.3119E-01      0.2846E-01
       445.0          0.3020E-01      0.2642E-01
       450.0          0.2920E-01      0.2439E-01
       455.0          0.2889E-01      0.2368E-01
       460.0          0.2857E-01      0.2298E-01
       465.0          0.2826E-01      0.2228E-01
       470.0          0.2794E-01      0.2157E-01
       475.0          0.2763E-01      0.2087E-01
       480.0          0.2732E-01      0.2016E-01
       485.0          0.2700E-01      0.1946E-01
       490.0          0.2669E-01      0.1875E-01
       495.0          0.2638E-01      0.1805E-01
       500.0          0.2606E-01      0.1734E-01
       505.0          0.2420E-01      0.1688E-01
       510.0          0.2234E-01      0.1641E-01
       515.0          0.2048E-01      0.1594E-01
