# ATLAS, arXiv:1807.00539, July 2018, Fig. 6a
# 539_Atlas_H-aa-bbmumu_13TeV_36.1fb-1.txt
# Limit set on SM-normalized sigma(H) x BR(H-> aa -> bbmumu)
# Ma	obs		exp

       20.00          0.3258E-03      0.2615E-03
       20.50          0.3584E-03      0.2575E-03
       21.00          0.3909E-03      0.2534E-03
       21.50          0.3533E-03      0.2464E-03
       22.00          0.3157E-03      0.2395E-03
       22.50          0.2459E-03      0.2425E-03
       23.00          0.1760E-03      0.2456E-03
       23.50          0.1535E-03      0.2374E-03
       24.00          0.1310E-03      0.2292E-03
       24.50          0.1249E-03      0.2189E-03
       25.00          0.1189E-03      0.2086E-03
       25.50          0.1243E-03      0.2126E-03
       26.00          0.1298E-03      0.2166E-03
       26.50          0.1292E-03      0.2146E-03
       27.00          0.1286E-03      0.2125E-03
       27.50          0.2144E-03      0.2245E-03
       28.00          0.3003E-03      0.2365E-03
       28.50          0.3100E-03      0.2426E-03
       29.00          0.3197E-03      0.2487E-03
       29.50          0.2578E-03      0.2479E-03
       30.00          0.1959E-03      0.2471E-03
       30.50          0.2385E-03      0.2543E-03
       31.00          0.2811E-03      0.2615E-03
       31.50          0.2509E-03      0.2640E-03
       32.00          0.2207E-03      0.2665E-03
       32.50          0.2176E-03      0.2733E-03
       33.00          0.2145E-03      0.2802E-03
       33.50          0.2215E-03      0.2941E-03
       34.00          0.2285E-03      0.3079E-03
       34.50          0.2458E-03      0.3179E-03
       35.00          0.2631E-03      0.3279E-03
       35.50          0.3539E-03      0.3380E-03
       36.00          0.4447E-03      0.3481E-03
       36.50          0.5164E-03      0.3582E-03
       37.00          0.5881E-03      0.3683E-03
       37.50          0.6275E-03      0.3784E-03
       38.00          0.6668E-03      0.3885E-03
       38.50          0.5462E-03      0.3897E-03
       39.00          0.4255E-03      0.3909E-03
       39.50          0.4688E-03      0.4049E-03
       40.00          0.5122E-03      0.4189E-03
       40.50          0.6167E-03      0.4353E-03
       41.00          0.7213E-03      0.4517E-03
       41.50          0.7561E-03      0.4560E-03
       42.00          0.6282E-03      0.4603E-03
       42.50          0.4971E-03      0.4490E-03
       43.00          0.3660E-03      0.4377E-03
       43.50          0.3226E-03      0.4377E-03
       44.00          0.2793E-03      0.4377E-03
       44.50          0.2750E-03      0.4505E-03
       45.00          0.3217E-03      0.4632E-03
       45.50          0.4162E-03      0.4872E-03
       46.00          0.5106E-03      0.5112E-03
       46.50          0.5606E-03      0.5352E-03
       47.00          0.6107E-03      0.5593E-03
       47.50          0.6295E-03      0.5540E-03
       48.00          0.6482E-03      0.5488E-03
       48.50          0.6472E-03      0.5337E-03
       49.00          0.6462E-03      0.5186E-03
       49.50          0.7518E-03      0.5443E-03
       50.00          0.8573E-03      0.5699E-03
       50.50          0.8655E-03      0.5681E-03
       51.00          0.7876E-03      0.5663E-03
       51.50          0.6991E-03      0.5536E-03
       52.00          0.6107E-03      0.5409E-03
       52.50          0.5148E-03      0.5282E-03
       53.00          0.4189E-03      0.5155E-03
       53.50          0.3582E-03      0.5028E-03
       54.00          0.2974E-03      0.4901E-03
       54.50          0.2924E-03      0.4827E-03
       55.00          0.2873E-03      0.4752E-03
       55.50          0.3012E-03      0.4677E-03
       56.00          0.3150E-03      0.4603E-03
       56.50          0.3289E-03      0.4513E-03
       57.00          0.3504E-03      0.4422E-03
       57.50          0.3719E-03      0.4332E-03
       58.00          0.3934E-03      0.4242E-03
       58.50          0.3885E-03      0.4117E-03
       59.00          0.3836E-03      0.3991E-03
       59.50          0.3599E-03      0.3866E-03
       60.00          0.3362E-03      0.3741E-03
