# ATLAS, arXiv:1806.07355, June 2018, Fig. 9c
# 7355_Atlas_VH-aa-bbbb_13TeV_36.1fb-1.txt
# Limit is set on sigma(VH) x BR(H->aa->4b) in pb
# Ma	obs		exp

       20.00           2.998           2.181    
       21.00           2.739           2.000    
       22.00           2.480           1.819    
       23.00           2.221           1.637    
       24.00           2.029           1.456    
       25.00           1.837           1.323    
       26.00           1.644           1.190    
       27.00           1.499           1.056    
       28.00           1.353          0.9649    
       29.00           1.250          0.8736    
       30.00           1.148          0.7822    
       31.00           1.096          0.7308    
       32.00           1.045          0.6794    
       33.00           1.048          0.6652    
       34.00           1.051          0.6509    
       35.00           1.089          0.6566    
       36.00           1.127          0.6623    
       37.00           1.165          0.6752    
       38.00           1.202          0.6880    
       39.00           1.239          0.7009    
       40.00           1.256          0.7137    
       41.00           1.258          0.7166    
       42.00           1.260          0.7194    
       43.00           1.261          0.7223    
       44.00           1.263          0.7251    
       45.00           1.265          0.7280    
       46.00           1.266          0.7308    
       47.00           1.268          0.7337    
       48.00           1.270          0.7365    
       49.00           1.272          0.7394    
       50.00           1.273          0.7423    
       51.00           1.275          0.7423    
       52.00           1.277          0.7423    
       53.00           1.278          0.7423    
       54.00           1.280          0.7423    
       55.00           1.282          0.7423    
       56.00           1.284          0.7423    
       57.00           1.285          0.7423    
       58.00           1.287          0.7423    
       59.00           1.289          0.7423    
       60.00           1.290          0.7423    
