# CMS, CMS-PAS-HIG-18-014, Sept 2018, Fig 6a
# 18014_CMS_pp-tbHpm-taunu_13TeV_35.9fb-1.txt
# Limit is set on sigma(pp->tbH^\pm) x BR(H^\pm -> tau nu) in pb.
# MHp	obs		exp

       80.00           5.986           5.837    
       85.00           5.280           5.765    
       90.00           4.574           5.692    
       95.00           3.920           5.313    
       100.0           3.267           4.933    
       105.0           3.090           4.642    
       110.0           2.913           4.351    
       115.0           2.737           4.060    
       120.0           2.560           3.769    
       125.0           2.479           3.483    
       130.0           2.399           3.197    
       135.0           2.318           2.911    
       140.0           2.238           2.625    
       145.0           1.931           2.413    
       150.0           1.625           2.200    
       155.0           1.482           1.956    
       160.0           1.306           1.907    
       165.0           1.006           1.409    
       170.0          0.5728          0.8087    
       175.0          0.5178          0.7249    
       180.0          0.8505          0.8155    
       185.0          0.8007          0.7552    
       190.0          0.7510          0.6949    
       195.0          0.7012          0.6346    
       200.0          0.6514          0.5743    
       205.0          0.6069          0.5342    
       210.0          0.5624          0.4940    
       215.0          0.5179          0.4539    
       220.0          0.4734          0.4138    
       225.0          0.4463          0.3925    
       230.0          0.4192          0.3712    
       235.0          0.3922          0.3498    
       240.0          0.3651          0.3285    
       245.0          0.3380          0.3072    
       250.0          0.3110          0.2859    
       255.0          0.2937          0.2727    
       260.0          0.2765          0.2594    
       265.0          0.2593          0.2462    
       270.0          0.2421          0.2329    
       275.0          0.2249          0.2197    
       280.0          0.2077          0.2065    
       285.0          0.1904          0.1932    
       290.0          0.1732          0.1800    
       295.0          0.1560          0.1667    
       300.0          0.1388          0.1535    
       305.0          0.1358          0.1489    
       310.0          0.1328          0.1443    
       315.0          0.1298          0.1397    
       320.0          0.1268          0.1351    
       325.0          0.1238          0.1305    
       330.0          0.1209          0.1259    
       335.0          0.1179          0.1213    
       340.0          0.1149          0.1167    
       345.0          0.1119          0.1121    
       350.0          0.1089          0.1075    
       355.0          0.1059          0.1029    
       360.0          0.1029          0.9826E-01
       365.0          0.9995E-01      0.9365E-01
       370.0          0.9696E-01      0.8905E-01
       375.0          0.9397E-01      0.8444E-01
       380.0          0.9098E-01      0.7984E-01
       385.0          0.8800E-01      0.7523E-01
       390.0          0.8501E-01      0.7063E-01
