      -100           0          10          20          30          40          50          60          70          80          90         100
      130.00     0.237582    0.102421    0.102086    0.101750    0.101415    0.101080    0.100744    0.100409    0.100074    0.099738    0.099403
      140.00     0.166309    0.110042    0.109114    0.108185    0.107257    0.106328    0.105400    0.104471    0.103543    0.102615    0.101686
      150.00     0.095037    0.117174    0.115603    0.114033    0.112463    0.110892    0.109321    0.107751    0.106181    0.104610    0.103040
      160.00     0.110295    0.135260    0.132423    0.129586    0.126749    0.123912    0.121075    0.118238    0.115401    0.112564    0.109727
      170.00     0.125554    0.193224    0.184284    0.175344    0.166404    0.157464    0.148524    0.139585    0.130645    0.121705    0.112765
      180.00     0.359142    0.251189    0.236146    0.221103    0.206060    0.191017    0.175974    0.160931    0.145889    0.130846    0.115803
      190.00     0.296247    0.173884    0.167787    0.161690    0.155592    0.149495    0.143398    0.137301    0.131204    0.125106    0.119009
      200.00     0.233351    0.166257    0.161363    0.156470    0.151576    0.146683    0.141789    0.136896    0.132002    0.127109    0.122216
      210.00     0.267010    0.143856    0.141827    0.139799    0.137770    0.135742    0.133713    0.131685    0.129656    0.127628    0.125599
      220.00     0.164386    0.121455    0.122292    0.123128    0.123964    0.124801    0.125637    0.126474    0.127310    0.128147    0.128983
      230.00     0.189794    0.144026    0.143986    0.143946    0.143905    0.143865    0.143825    0.143785    0.143744    0.143704    0.143664
      240.00     0.150263    0.127027    0.129759    0.132492    0.135224    0.137957    0.140689    0.143422    0.146154    0.148887    0.151619
      250.00     0.133702    0.137709    0.142570    0.147431    0.152292    0.157153    0.162014    0.166875    0.171736    0.176597    0.181459
      260.00     0.209020    0.256914    0.249184    0.241454    0.233725    0.225995    0.218265    0.210536    0.202806    0.195076    0.187347
      270.00     0.284339    0.376119    0.355798    0.335478    0.315157    0.294837    0.274517    0.254196    0.233876    0.213555    0.193235
      280.00     0.212722    0.267469    0.259815    0.252161    0.244507    0.236854    0.229200    0.221546    0.213893    0.206239    0.198585
      290.00     0.141106    0.267469    0.260409    0.253350    0.246291    0.239232    0.232172    0.225113    0.218054    0.210995    0.203935
      300.00     0.165869    0.235900    0.226384    0.216869    0.207354    0.197839    0.188324    0.178809    0.169294    0.159778    0.150263
      310.00     0.156099    0.220642    0.212318    0.203995    0.195671    0.187347    0.179023    0.170699    0.162375    0.154052    0.145728
      320.00     0.146328    0.205385    0.198252    0.191120    0.183987    0.176855    0.169722    0.162590    0.155457    0.148325    0.141192
      330.00     0.136557    0.190128    0.184186    0.178245    0.172304    0.166363    0.160421    0.154480    0.148539    0.142598    0.136657
      340.00     0.126787    0.174870    0.170120    0.165370    0.160620    0.155870    0.151121    0.146371    0.141621    0.136871    0.132121
      350.00     0.117016    0.159613    0.156054    0.152496    0.148937    0.145378    0.141820    0.138261    0.134703    0.131144    0.127585
      360.00     0.107246    0.144355    0.141988    0.139621    0.137253    0.134886    0.132519    0.130152    0.127784    0.125417    0.123050
      370.00     0.097475    0.129098    0.127922    0.126746    0.125570    0.124394    0.123218    0.122042    0.120866    0.119690    0.118514
