mh   ctt_W   cbb_W   cvv_W   ctv_W   cbv_W   ctb_W
1  0.0  0.0  1123.51278  1.16503  0.0  0.0  1124.67781
2  0.0  0.0  815.775765  1.067637  0.0  0.0  816.843402
3  0.0  0.0  646.251388  1.011235  0.0  0.0  647.262623
4  0.0  0.0  534.051039  0.935494  0.0  0.0  534.986533
5  0.0  0.0  453.26369  0.882574  0.0  0.0  454.146264
6  0.0  0.0  391.562727  0.831032  0.0  0.0  392.393759
7  0.0  0.0  341.856111  0.781354  0.0  0.0  342.637465
8  0.0  0.0  301.863282  0.74381  0.0  0.0  302.607092
9  0.0  0.0  268.727316  0.697987  0.0  0.0  269.425303
10  0.0  0.0  240.884684  0.658174  0.0  0.0  241.542858
11  0.0  0.0  217.470472  0.622884  0.0  0.0  218.093356
12  0.0  0.0  196.683872  0.591282  0.0  0.0  197.275154
13  0.0  0.0  179.041271  0.561783  0.0  0.0  179.603054
14  0.0  0.0  163.250369  0.532816  0.0  0.0  163.783185
15  0.0  0.0  149.315812  0.508143  0.0  0.0  149.823955
16  0.0  0.0  137.177054  0.481138  0.0  0.0  137.658192
17  0.0  0.0  126.222395  0.459051  0.0  0.0  126.681446
18  0.0  0.0  116.541228  0.441063  0.0  0.0  116.982291
19  0.0  0.0  107.83159  0.417591  0.0  0.0  108.249181
20  0.0  0.0  100.237158  0.396652  0.0  0.0  100.63381
21  0.0  0.0  92.7634449  0.3824771  0.0  0.0  93.145922
22  0.0  0.0  86.6866986  0.3631705  0.0  0.0  87.0498691
23  0.0  0.0  80.7663009  0.3495393  0.0  0.0  81.1158402
24  0.0  0.0  75.1950011  0.3347428  0.0  0.0  75.5297439
25  0.0  0.0  70.2857657  0.3182286  0.0  0.0  70.6039943
26  0.0  0.0  65.8147637  0.3045829  0.0  0.0  66.1193466
27  0.0  0.0  61.6620052  0.2927333  0.0  0.0  61.9547385
28  0.0  0.0  57.8046673  0.2775285  0.0  0.0  58.0821958
29  0.0  0.0  54.4443124  0.2681898  0.0  0.0  54.7125022
30  0.0  0.0  51.2372273  0.2577873  0.0  0.0  51.4950146
31  0.0  0.0  48.3644602  0.2478484  0.0  0.0  48.6123086
32  0.0  0.0  45.5348809  0.237528  0.0  0.0  45.7724089
33  0.0  0.0  42.9587251  0.2289674  0.0  0.0  43.1876925
34  0.0  0.0  40.5742473  0.2193686  0.0  0.0  40.7936159
35  0.0  0.0  38.2870848  0.2118564  0.0  0.0  38.4989412
36  0.0  0.0  36.2777187  0.2029281  0.0  0.0  36.4806468
37  0.0  0.0  34.3399117  0.1970043  0.0  0.0  34.536916
38  0.0  0.0  32.5100866  0.1886797  0.0  0.0  32.6987663
39  0.0  0.0  30.8010214  0.1817823  0.0  0.0  30.9828037
40  0.0  0.0  29.2765162  0.1748941  0.0  0.0  29.4514103
41  0.0  0.0  27.8303742  0.1690522  0.0  0.0  27.9994264
42  0.0  0.0  26.3719372  0.1635679  0.0  0.0  26.5355051
43  0.0  0.0  25.2037346  0.156735  0.0  0.0  25.3604696
44  0.0  0.0  23.9542797  0.1522612  0.0  0.0  24.1065409
45  0.0  0.0  22.7889528  0.1461487  0.0  0.0  22.9351015
46  0.0  0.0  21.7121714  0.1421341  0.0  0.0  21.8543055
47  0.0  0.0  20.7111733  0.1368474  0.0  0.0  20.8480207
48  0.0  0.0  19.7538869  0.1314609  0.0  0.0  19.8853478
49  0.0  0.0  18.8604373  0.12813  0.0  0.0  18.9885673
50  0.0  0.0  18.0017263  0.123137  0.0  0.0  18.1248633
51  0.0  0.0  17.2014846  0.1193604  0.0  0.0  17.320845
