mh   ctt_W   cbb_W   cvv_W   ctv_W   cbv_W   ctb_W
1  0.0  0.0  671.299158  0.627748  0.0  0.0  671.926906
2  0.0  0.0  482.366837  0.578269  0.0  0.0  482.945106
3  0.0  0.0  381.943143  0.539735  0.0  0.0  382.482878
4  0.0  0.0  314.330456  0.502245  0.0  0.0  314.832701
5  0.0  0.0  266.454258  0.470391  0.0  0.0  266.924649
6  0.0  0.0  229.314876  0.442471  0.0  0.0  229.757347
7  0.0  0.0  200.384298  0.414678  0.0  0.0  200.798976
8  0.0  0.0  176.067444  0.391561  0.0  0.0  176.459005
9  0.0  0.0  156.846896  0.368522  0.0  0.0  157.215418
10  0.0  0.0  140.176947  0.347878  0.0  0.0  140.524825
11  0.0  0.0  125.94825  0.328712  0.0  0.0  126.276962
12  0.0  0.0  113.806476  0.310985  0.0  0.0  114.117461
13  0.0  0.0  103.516158  0.294325  0.0  0.0  103.810483
14  0.0  0.0  94.0966937  0.2785442  0.0  0.0  94.3752379
15  0.0  0.0  86.0753022  0.2652367  0.0  0.0  86.3405389
16  0.0  0.0  78.992456  0.2494197  0.0  0.0  79.2418757
17  0.0  0.0  72.6946464  0.2391911  0.0  0.0  72.9338375
18  0.0  0.0  66.8851738  0.2276983  0.0  0.0  67.1128721
19  0.0  0.0  61.7846032  0.2160498  0.0  0.0  62.000653
20  0.0  0.0  57.2849314  0.2046372  0.0  0.0  57.4895686
21  0.0  0.0  53.0987134  0.1954789  0.0  0.0  53.2941923
22  0.0  0.0  49.3403092  0.1870216  0.0  0.0  49.5273308
23  0.0  0.0  45.9869294  0.1783916  0.0  0.0  46.165321
24  0.0  0.0  42.7786065  0.1698714  0.0  0.0  42.9484779
25  0.0  0.0  39.9210232  0.1623086  0.0  0.0  40.0833318
26  0.0  0.0  37.3908196  0.1552253  0.0  0.0  37.5460449
27  0.0  0.0  35.0000429  0.148187  0.0  0.0  35.1482299
28  0.0  0.0  32.8153695  0.1418883  0.0  0.0  32.9572578
29  0.0  0.0  30.8043476  0.1357442  0.0  0.0  30.9400918
30  0.0  0.0  28.9799696  0.1299838  0.0  0.0  29.1099534
31  0.0  0.0  27.2226152  0.1246647  0.0  0.0  27.3472799
32  0.0  0.0  25.6521972  0.1194979  0.0  0.0  25.7716951
33  0.0  0.0  24.1519277  0.1150929  0.0  0.0  24.2670206
34  0.0  0.0  22.7637581  0.1101878  0.0  0.0  22.8739459
35  0.0  0.0  21.5121908  0.1058413  0.0  0.0  21.6180321
36  0.0  0.0  20.3354024  0.1014159  0.0  0.0  20.4368183
37  0.0  0.0  19.2178894  0.0975961  0.0  0.0  19.3154855
38  0.0  0.0  18.2293006  0.0940406  0.0  0.0  18.3233412
39  0.0  0.0  17.2353264  0.0899094  0.0  0.0  17.3252358
40  0.0  0.0  16.3426774  0.0871093  0.0  0.0  16.4297867
41  0.0  0.0  15.4979212  0.083533  0.0  0.0  15.5814542
42  0.0  0.0  14.7191362  0.0803507  0.0  0.0  14.7994869
43  0.0  0.0  13.9855631  0.0772697  0.0  0.0  14.0628328
44  0.0  0.0  13.282684  0.0748458  0.0  0.0  13.3575298
45  0.0  0.0  12.6451738  0.0722095  0.0  0.0  12.7173833
46  0.0  0.0  12.0348956  0.0691931  0.0  0.0  12.1040887
47  0.0  0.0  11.463507  0.0671015  0.0  0.0  11.5306085
48  0.0  0.0  10.9328413  0.0644085  0.0  0.0  10.9972498
49  0.0  0.0  10.4393997  0.0621122  0.0  0.0  10.5015119
50  0.0  0.0  9.9459266  0.0601813  0.0  0.0  10.0061079
51  0.0  0.0  9.49676434  0.05807098  0.0  0.0  9.55483532
52  0.0  0.0  9.06149778  0.05584675  0.0  0.0  9.11734453
53  0.0  0.0  8.66213684  0.05418537  0.0  0.0  8.71632221
54  0.0  0.0  8.27802063  0.0525011  0.0  0.0  8.33052173
55  0.0  0.0  7.9174265  0.05024852  0.0  0.0  7.96767502
56  0.0  0.0  7.56839429  0.04876822  0.0  0.0  7.61716251
57  0.0  0.0  7.25432989  0.04720362  0.0  0.0  7.30153351
58  0.0  0.0  6.94311514  0.04567979  0.0  0.0  6.98879493
59  0.0  0.0  6.65808415  0.04415342  0.0  0.0  6.70223757
60  0.0  0.0  6.37992279  0.04263707  0.0  0.0  6.42255986
61  0.0  0.0  6.11713031  0.04129001  0.0  0.0  6.15842032
62  0.0  0.0  5.86871988  0.04029638  0.0  0.0  5.90901626
63  0.0  0.0  5.62999715  0.03891961  0.0  0.0  5.66891676
