mh   ctt_Z   cbb_Z   cvv_Z   ctv_Z   cbv_Z   ctb_Z
1  0.0624122679  0.00345799078  270.441254  -0.1000212679  -0.01360699078  0.00156304252  270.395059043
2  0.0500272828  0.00287317973  197.823152  -0.0485482828  -0.01106017973  0.00145688067  197.817900881
3  0.0425278897  0.00252525316  157.77406  -0.0210238897  -0.01000125316  0.00114398144  157.789231981
4  0.0372684175  0.0022784451  131.182712  -0.00596541750002  -0.0087684451  0.0009978892  131.208522889
5  0.0336348421  0.0020921148  112.101609  0.0023141579  -0.00784411480001  0.0009035296  112.13270953
6  0.0305325163  0.00193803878  97.2679765  0.0078212837  -0.00738983878  0.00088667242  97.3017651724
7  0.0285640105  0.00181463171  85.3302961  0.0087519895  -0.00671083171001  0.00076256289  85.3634784629
8  0.0265933778  0.00170423239  75.6615419  0.0110869222  -0.00608623239  0.00068162761  75.6955218276
9  0.025089852  0.00161010377  67.7522023  0.010905648  -0.00561720377  0.00064970423  67.7848404042
10  0.0239603521  0.00152859548  60.8712796  0.0095815479  -0.00569379548001  0.00061016402  60.901266464
11  0.0228753571  0.0014548908  55.076879  0.0092070429  -0.00498049079999  0.0005865294  55.1060223294
12  0.0220442942  0.0013905769  50.0351748  0.0068661058  -0.0048872769  0.0005699987  50.0611584987
13  0.0210730092  0.00133000004  45.6945592  0.0062990908  -0.00459700004  0.00054685146  45.7192111515
14  0.0205767322  0.00127811071  41.8417421  0.00373726780001  -0.00440401071  0.00054792169  41.8634781217
15  0.0200013161  0.00122949233  38.5148312  0.000762983899996  -0.00423279233  0.00052923887  38.5331214389
16  0.0194898331  0.00118408556  35.3767167  -0.00137483310001  -0.00392198556  0.00052121594  35.3926150159
17  0.0190655785  0.00114175397  32.7271464  -0.0034219785  -0.00399755397  0.00049869313  32.7404328931
18  0.0186374764  0.0011027833  30.2912  -0.0057243764  -0.0037041833  0.000481007  30.301992707
19  0.0183537422  0.00106666326  28.1410283  -0.0076973422  -0.00362746326  0.00046412614  28.1495880261
20  0.018012794  0.00103215798  26.1450764  -0.010227694  -0.00340335798  0.00045580302  26.150946103
21  0.0177460488  0.000999363384  24.3124751  -0.0121386488  -0.003337563384  0.000431123916  24.3161754239
22  0.0174577853  0.000968568907  22.7311526  -0.0143936853  -0.003234868907  0.000445662293  22.7323960623
23  0.0172453017  0.000939563206  21.2023845  -0.0166157017  -0.003105863206  0.000426191694  21.2012739917
24  0.0170188228  0.000911893838  19.8697566  -0.0184140228  -0.003389593838  0.000421715862  19.8663054159
25  0.0168379139  0.000885677228  18.6175235  -0.0196604139  -0.002993777228  0.000396927372  18.6129898274
26  0.0166593443  0.000860958469  17.4804317  -0.0220225443  -0.002954358469  0.000389741431  17.4733648414
27  0.0164772236  0.000836857554  16.4163113  -0.0241997236  -0.002847057554  0.000381347046  16.406959947
28  0.0163275018  0.000814265432  15.4368366  -0.0253381018  -0.002775565432  0.000400416468  15.4262651165
29  0.0162005616  0.000792338072  14.5485605  -0.0265907616  -0.002787438072  0.000363390328  14.5365385903
30  0.0160864916  0.00077135729  13.7050611  -0.0284647916  -0.00270135729  0.00037011951  13.6911229195
31  0.0159793173  0.000751165677  12.9452794  -0.0300214173  -0.002529965677  0.000373693723  12.9298321937
32  0.0158303495  0.000732067318  12.2306625  -0.0314680495  -0.002612467318  0.000371191482  12.2135155915
33  0.0157135923  0.000713559256  11.5603795  -0.0325425923  -0.002441459256  0.000359856444  11.5421824564
34  0.0156265103  0.000695915524  10.9660104  -0.0342787103  -0.002491915524  0.000354138376  10.9459163384
35  0.0155586655  0.00067864825  10.3792818  -0.0348286655  -0.00243734825  0.00033476545  10.3585878655
36  0.0154548788  0.000662407752  9.82672794  -0.0361922488  -0.002349557752  0.000340991048  9.80464441105
37  0.0154108253  0.000646481854  9.32584254  -0.0375049353  -0.002300611854  0.000322875346  9.30241717535
