mh   ctt_W   cbb_W   cvv_W   ctv_W   cbv_W   ctb_W
1  0.0  0.0  149.830179  0.098965  0.0  0.0  149.929144
2  0.0  0.0  107.642803  0.090742  0.0  0.0  107.733545
3  0.0  0.0  84.7739517  0.0851821  0.0  0.0  84.8591338
4  0.0  0.0  69.819488  0.0796272  0.0  0.0  69.8991152
5  0.0  0.0  58.9224654  0.0738227  0.0  0.0  58.9962881
6  0.0  0.0  50.7049322  0.0690742  0.0  0.0  50.7740064
7  0.0  0.0  44.1514971  0.0647589  0.0  0.0  44.216256
8  0.0  0.0  38.8464597  0.060685  0.0  0.0  38.9071447
9  0.0  0.0  34.460019  0.0569547  0.0  0.0  34.5169737
10  0.0  0.0  30.781349  0.0536104  0.0  0.0  30.8349594
11  0.0  0.0  27.628107  0.0506566  0.0  0.0  27.6787636
12  0.0  0.0  24.9265019  0.047501  0.0  0.0  24.9740029
13  0.0  0.0  22.6101312  0.0450622  0.0  0.0  22.6551934
14  0.0  0.0  20.5798614  0.0424555  0.0  0.0  20.6223169
15  0.0  0.0  18.7874145  0.040071  0.0  0.0  18.8274855
16  0.0  0.0  17.2061429  0.0376714  0.0  0.0  17.2438143
17  0.0  0.0  15.7993598  0.0356662  0.0  0.0  15.835026
18  0.0  0.0  14.5455395  0.0339982  0.0  0.0  14.5795377
19  0.0  0.0  13.4195609  0.0320179  0.0  0.0  13.4515788
20  0.0  0.0  12.4030024  0.0303744  0.0  0.0  12.4333768
21  0.0  0.0  11.4938628  0.0288035  0.0  0.0  11.5226663
22  0.0  0.0  10.6760342  0.0273464  0.0  0.0  10.7033806
23  0.0  0.0  9.91806207  0.02612122  0.0  0.0  9.94418329
24  0.0  0.0  9.23825029  0.02471781  0.0  0.0  9.2629681
25  0.0  0.0  8.60986302  0.02354527  0.0  0.0  8.63340829
26  0.0  0.0  8.04567782  0.02234076  0.0  0.0  8.06801858
27  0.0  0.0  7.52103474  0.02141502  0.0  0.0  7.54244976
28  0.0  0.0  7.0411185  0.02032613  0.0  0.0  7.06144463
29  0.0  0.0  6.60190587  0.0193407  0.0  0.0  6.62124657
30  0.0  0.0  6.19638333  0.0184912  0.0  0.0  6.21487453
31  0.0  0.0  5.81923918  0.01760625  0.0  0.0  5.83684543
32  0.0  0.0  5.47332329  0.01682986  0.0  0.0  5.49015315
